地图名称：Denver_0_1024.map
算例总数：3680


序号		方法		耗时(微秒)		基准长度		长度		找到解		无效解		最优解		预处理耗时(微秒)		
Seq.		Method		Time(us)		Ben.Len.		Len.		Solved		Invalid		Opt 		Pre.Map(us)		

1		A*		67496		2.82843		2.8286		1		0		1		0		
1		Dijkstra		64583		2.82843		2.8286		1		0		1		0		
1		JPS		24066		2.82843		2.8286		1		0		1		0		
1		EDG*		15		2.82843		2.82843		1		0		1		142438		


2		A*		64537		2.41421		2.4143		1		0		1		0		
2		Dijkstra		67726		2.41421		2.4143		1		0		1		0		
2		JPS		2710		2.41421		2.4143		1		0		1		0		
2		EDG*		8		2.41421		2.23607		1		0		1		0		


3		A*		66189		3.82843		3.8286		1		0		1		0		
3		Dijkstra		63706		3.82843		3.8286		1		0		1		0		
3		JPS		10942		3.82843		3.8286		1		0		1		0		
3		EDG*		10		3.82843		3.60555		1		0		1		0		


4		A*		63276		3.82843		3.8286		1		0		1		0		
4		Dijkstra		64554		3.82843		3.8286		1		0		1		0		
4		JPS		25640		3.82843		3.8286		1		0		1		0		
4		EDG*		10		3.82843		3.60555		1		0		1		0		


5		A*		61709		3.41421		3.4143		1		0		1		0		
5		Dijkstra		60701		3.41421		3.4143		1		0		1		0		
5		JPS		1287		3.41421		3.4143		1		0		1		0		
5		EDG*		8		3.41421		3.16228		1		0		1		0		


6		A*		62979		3		3		1		0		1		0		
6		Dijkstra		63372		3		3		1		0		1		0		
6		JPS		9727		3		3		1		0		1		0		
6		EDG*		13		3		3		1		0		1		0		


7		A*		73352		2.41421		2.4143		1		0		1		0		
7		Dijkstra		63246		2.41421		2.4143		1		0		1		0		
7		JPS		362		2.41421		2.4143		1		0		1		0		
7		EDG*		8		2.41421		2.23607		1		0		1		0		


8		A*		67342		2.41421		2.4143		1		0		1		0		
8		Dijkstra		63109		2.41421		2.4143		1		0		1		0		
8		JPS		2435		2.41421		2.4143		1		0		1		0		
8		EDG*		8		2.41421		2.23607		1		0		1		0		


9		A*		61438		0		0		1		0		0		0		
9		Dijkstra		61168		0		0		1		0		0		0		
9		JPS		8		0		0		1		0		0		0		
9		EDG*		3		0		0		1		0		1		0		


10		A*		61874		2.82843		2.8286		1		0		1		0		
10		Dijkstra		61413		2.82843		2.8286		1		0		1		0		
10		JPS		11057		2.82843		2.8286		1		0		1		0		
10		EDG*		8		2.82843		2.82843		1		0		1		0		


11		A*		68946		6.41421		6.4143		1		0		1		0		
11		Dijkstra		66687		6.41421		6.4143		1		0		1		0		
11		JPS		5986		6.41421		6.4143		1		0		1		0		
11		EDG*		13		6.41421		6.08276		1		0		1		0		


12		A*		75529		7.24264		7.2429		1		0		1		0		
12		Dijkstra		77665		7.24264		7.2429		1		0		1		0		
12		JPS		3302		7.24264		7.2429		1		0		1		0		
12		EDG*		12		7.24264		6.7082		1		0		1		0		


13		A*		63454		4.41421		4.4143		1		0		1		0		
13		Dijkstra		70448		4.41421		4.4143		1		0		1		0		
13		JPS		3638		4.41421		4.4143		1		0		1		0		
13		EDG*		11		4.41421		4.12311		1		0		1		0		


14		A*		63649		4.82843		4.8286		1		0		1		0		
14		Dijkstra		62586		4.82843		4.8286		1		0		1		0		
14		JPS		5867		4.82843		4.8286		1		0		1		0		
14		EDG*		10		4.82843		4.47214		1		0		1		0		


15		A*		61890		4.82843		4.8286		1		0		1		0		
15		Dijkstra		63301		4.82843		4.8286		1		0		1		0		
15		JPS		5967		4.82843		4.8286		1		0		1		0		
15		EDG*		13		4.82843		4.47214		1		0		1		0		


16		A*		66547		4		4		1		0		1		0		
16		Dijkstra		78451		4		4		1		0		1		0		
16		JPS		7467		4		4		1		0		1		0		
16		EDG*		12		4		4		1		0		1		0		


17		A*		88772		6.65685		6.6572		1		0		1		0		
17		Dijkstra		106753		6.65685		6.6572		1		0		1		0		
17		JPS		9028		6.65685		6.6572		1		0		1		0		
17		EDG*		11		6.65685		6.40312		1		0		1		0		


18		A*		63631		7.82843		7.8286		1		0		1		0		
18		Dijkstra		64801		7.82843		7.8286		1		0		1		0		
18		JPS		18716		7.82843		7.8286		1		0		1		0		
18		EDG*		13		7.82843		7.28011		1		0		1		0		


19		A*		62771		4.24264		4.2429		1		0		1		0		
19		Dijkstra		63450		4.24264		4.2429		1		0		1		0		
19		JPS		10167		4.24264		4.2429		1		0		1		0		
19		EDG*		10		4.24264		4.24264		1		0		1		0		


20		A*		63809		7.07107		7.0715		1		0		1		0		
20		Dijkstra		67868		7.07107		7.0715		1		0		1		0		
20		JPS		11029		7.07107		7.0715		1		0		1		0		
20		EDG*		12		7.07107		7.07107		1		0		1		0		


21		A*		61588		8		8		1		0		1		0		
21		Dijkstra		63561		8		8		1		0		1		0		
21		JPS		28948		8		8		1		0		1		0		
21		EDG*		13		8		8		1		0		1		0		


22		A*		62137		10.2426		10.2429		1		0		1		0		
22		Dijkstra		77878		10.2426		10.2429		1		0		1		0		
22		JPS		4743		10.2426		10.2429		1		0		1		0		
22		EDG*		14		10.2426		9.48683		1		0		1		0		


23		A*		62625		8.24264		8.2429		1		0		1		0		
23		Dijkstra		65256		8.24264		8.2429		1		0		1		0		
23		JPS		1132		8.24264		8.2429		1		0		1		0		
23		EDG*		13		8.24264		7.61577		1		0		1		0		


24		A*		62124		11.4853		11.4858		1		0		1		0		
24		Dijkstra		65278		11.4853		11.4858		1		0		1		0		
24		JPS		9787		11.4853		11.4858		1		0		1		0		
24		EDG*		13		11.4853		10.8167		1		0		1		0		


25		A*		66605		11.2426		11.2429		1		0		1		0		
25		Dijkstra		63774		11.2426		11.2429		1		0		1		0		
25		JPS		4207		11.2426		11.2429		1		0		1		0		
25		EDG*		14		11.2426		10.4403		1		0		1		0		


26		A*		61456		8.65685		8.6572		1		0		1		0		
26		Dijkstra		66035		8.65685		8.6572		1		0		1		0		
26		JPS		14578		8.65685		8.6572		1		0		1		0		
26		EDG*		16		8.65685		8.06226		1		0		1		0		


27		A*		66635		8.82843		8.8286		1		0		1		0		
27		Dijkstra		72755		8.82843		8.8286		1		0		1		0		
27		JPS		5383		8.82843		8.8286		1		0		1		0		
27		EDG*		12		8.82843		8.24621		1		0		1		0		


28		A*		62255		9.41421		9.4143		1		0		1		0		
28		Dijkstra		64864		9.41421		9.4143		1		0		1		0		
28		JPS		2567		9.41421		9.4143		1		0		1		0		
28		EDG*		13		9.41421		9.05539		1		0		1		0		


29		A*		61739		8.41421		8.4143		1		0		1		0		
29		Dijkstra		64084		8.41421		8.4143		1		0		1		0		
29		JPS		827		8.41421		8.4143		1		0		1		0		
29		EDG*		14		8.41421		8.06226		1		0		1		0		


30		A*		65787		11.3137		11.3144		1		0		1		0		
30		Dijkstra		65550		11.3137		11.3144		1		0		1		0		
30		JPS		2742		11.3137		11.3144		1		0		1		0		
30		EDG*		13		11.3137		11.3137		1		0		1		0		


31		A*		68776		15.3137		15.3144		1		0		1		0		
31		Dijkstra		71594		15.3137		15.3144		1		0		1		0		
31		JPS		2886		15.3137		15.3144		1		0		1		0		
31		EDG*		14		15.3137		14.4222		1		0		1		0		


32		A*		70411		14.1421		14.143		1		0		1		0		
32		Dijkstra		70645		14.1421		14.143		1		0		1		0		
32		JPS		13105		14.1421		14.143		1		0		1		0		
32		EDG*		16		14.1421		14.1421		1		0		1		0		


33		A*		62846		13.2426		13.2429		1		0		1		0		
33		Dijkstra		68124		13.2426		13.2429		1		0		1		0		
33		JPS		11744		13.2426		13.2429		1		0		1		0		
33		EDG*		15		13.2426		12.3693		1		0		1		0		


34		A*		62273		14.4853		14.4858		1		0		1		0		
34		Dijkstra		73581		14.4853		14.4858		1		0		1		0		
34		JPS		3899		14.4853		14.4858		1		0		1		0		
34		EDG*		17		14.4853		13.4164		1		0		1		0		


35		A*		62287		15.7279		15.7287		1		0		1		0		
35		Dijkstra		82022		15.7279		15.7287		1		0		1		0		
35		JPS		43095		15.7279		15.7287		1		0		1		0		
35		EDG*		20		15.7279		15		1		0		1		0		


36		A*		81835		12.0711		12.0715		1		0		1		0		
36		Dijkstra		81974		12.0711		12.0715		1		0		1		0		
36		JPS		9568		12.0711		12.0715		1		0		1		0		
36		EDG*		13		12.0711		11.1803		1		0		1		0		


37		A*		62774		13.2426		13.2429		1		0		1		0		
37		Dijkstra		68619		13.2426		13.2429		1		0		1		0		
37		JPS		11204		13.2426		13.2429		1		0		1		0		
37		EDG*		13		13.2426		12.3693		1		0		1		0		


38		A*		63136		14.7279		14.7287		1		0		1		0		
38		Dijkstra		70237		14.7279		14.7287		1		0		1		0		
38		JPS		19226		14.7279		14.7287		1		0		1		0		
38		EDG*		16		14.7279		14.2127		1		0		1		0		


39		A*		62321		15.4853		15.4858		1		0		1		0		
39		Dijkstra		69275		15.4853		15.4858		1		0		1		0		
39		JPS		26549		15.4853		15.4858		1		0		1		0		
39		EDG*		18		15.4853		14.3178		1		0		1		0		


40		A*		61971		13.0711		13.0715		1		0		1		0		
40		Dijkstra		68168		13.0711		13.0715		1		0		1		0		
40		JPS		5353		13.0711		13.0715		1		0		1		0		
40		EDG*		15		13.0711		12.083		1		0		1		0		


41		A*		63294		19.5563		19.5573		1		0		1		0		
41		Dijkstra		74733		19.5563		19.5573		1		0		1		0		
41		JPS		5766		19.5563		19.5573		1		0		1		0		
41		EDG*		16		19.5563		18.6011		1		0		1		0		


42		A*		63772		19.8284		19.8286		1		0		1		0		
42		Dijkstra		71703		19.8284		19.8286		1		0		1		0		
42		JPS		1780		19.8284		19.8286		1		0		1		0		
42		EDG*		21		19.8284		19.105		1		0		1		0		


43		A*		62997		17		17		1		0		1		0		
43		Dijkstra		75381		17		17		1		0		1		0		
43		JPS		22326		17		17		1		0		1		0		
43		EDG*		19		17		17		1		0		1		0		


44		A*		64362		19		19		1		0		1		0		
44		Dijkstra		83671		19		19		1		0		1		0		
44		JPS		26281		19		19		1		0		1		0		
44		EDG*		17		19		19		1		0		1		0		


45		A*		63659		17.2426		17.2429		1		0		1		0		
45		Dijkstra		70981		17.2426		17.2429		1		0		1		0		
45		JPS		8506		17.2426		17.2429		1		0		1		0		
45		EDG*		16		17.2426		16.2788		1		0		1		0		


46		A*		62229		17.8995		17.9001		1		0		1		0		
46		Dijkstra		71955		17.8995		17.9001		1		0		1		0		
46		JPS		11011		17.8995		17.9001		1		0		1		0		
46		EDG*		16		17.8995		16.5529		1		0		1		0		


47		A*		63289		17.4142		17.4143		1		0		1		0		
47		Dijkstra		72513		17.4142		17.4143		1		0		1		0		
47		JPS		27885		17.4142		17.4143		1		0		1		0		
47		EDG*		16		17.4142		17.0294		1		0		1		0		


48		A*		64681		18.8284		18.8286		1		0		1		0		
48		Dijkstra		77505		18.8284		18.8286		1		0		1		0		
48		JPS		10226		18.8284		18.8286		1		0		1		0		
48		EDG*		18		18.8284		18.1108		1		0		1		0		


49		A*		62456		19.8995		19.9001		1		0		1		0		
49		Dijkstra		75856		19.8995		19.9001		1		0		1		0		
49		JPS		15661		19.8995		19.9001		1		0		1		0		
49		EDG*		16		19.8995		18.3848		1		0		1		0		


50		A*		72493		19.8995		19.9001		1		0		1		0		
50		Dijkstra		88469		19.8995		19.9001		1		0		1		0		
50		JPS		8004		19.8995		19.9001		1		0		1		0		
50		EDG*		20		19.8995		18.3848		1		0		1		0		


51		A*		69689		21.799		21.8002		1		0		1		0		
51		Dijkstra		78793		21.799		21.8002		1		0		1		0		
51		JPS		20124		21.799		21.8002		1		0		1		0		
51		EDG*		17		21.799		21.2603		1		0		1		0		


52		A*		65137		21.9706		21.9716		1		0		1		0		
52		Dijkstra		78664		21.9706		21.9716		1		0		1		0		
52		JPS		13334		21.9706		21.9716		1		0		1		0		
52		EDG*		17		21.9706		20.8087		1		0		1		0		


53		A*		61711		20.0711		20.0715		1		0		1		0		
53		Dijkstra		78136		20.0711		20.0715		1		0		1		0		
53		JPS		14635		20.0711		20.0715		1		0		1		0		
53		EDG*		17		20.0711		18.6815		1		0		1		0		


54		A*		63400		21.3848		21.3859		1		0		1		0		
54		Dijkstra		83534		21.3848		21.3859		1		0		1		0		
54		JPS		15475		21.3848		21.3859		1		0		1		0		
54		EDG*		16		21.3848		20.6155		1		0		1		0		


55		A*		62243		23.7279		23.7287		1		0		1		0		
55		Dijkstra		79137		23.7279		23.7287		1		0		1		0		
55		JPS		11902		23.7279		23.7287		1		0		1		0		
55		EDG*		18		23.7279		21.9317		1		0		1		0		


56		A*		60942		23.8284		23.8286		1		0		1		0		
56		Dijkstra		83886		23.8284		23.8286		1		0		1		0		
56		JPS		13488		23.8284		23.8286		1		0		1		0		
56		EDG*		18		23.8284		23.0868		1		0		1		0		


57		A*		66259		22.2132		22.2145		1		0		1		0		
57		Dijkstra		86037		22.2132		22.2145		1		0		1		0		
57		JPS		25606		22.2132		22.2145		1		0		1		0		
57		EDG*		16		22.2132		21.9317		1		0		1		0		


