地图名称：Moscow_2_1024.map
算例总数：4230


序号		方法		耗时(微秒)		基准长度		长度		找到解		无效解		最优解		预处理耗时(微秒)		
Seq.		Method		Time(us)		Ben.Len.		Len.		Solved		Invalid		Opt 		Pre.Map(us)		

1		A*		60274		3		3		1		0		1		0		
1		Dijkstra		62417		3		3		1		0		1		0		
1		JPS		781		3		3		1		0		1		0		
1		EDG*		10		3		3		1		0		1		119881		


2		A*		62940		1.41421		1.4143		1		0		1		0		
2		Dijkstra		62011		1.41421		1.4143		1		0		1		0		
2		JPS		2704		1.41421		1.4143		1		0		1		0		
2		EDG*		7		1.41421		1.41421		1		0		1		0		


3		A*		61043		1.41421		1.4143		1		0		1		0		
3		Dijkstra		63383		1.41421		1.4143		1		0		1		0		
3		JPS		85		1.41421		1.4143		1		0		1		0		
3		EDG*		9		1.41421		1.41421		1		0		1		0		


4		A*		63044		2.82843		2.8286		1		0		1		0		
4		Dijkstra		63314		2.82843		2.8286		1		0		1		0		
4		JPS		4391		2.82843		2.8286		1		0		1		0		
4		EDG*		8		2.82843		2.82843		1		0		1		0		


5		A*		62627		3		3		1		0		1		0		
5		Dijkstra		63458		3		3		1		0		1		0		
5		JPS		3615		3		3		1		0		1		0		
5		EDG*		10		3		3		1		0		1		0		


6		A*		62229		3.41421		3.4143		1		0		1		0		
6		Dijkstra		62487		3.41421		3.4143		1		0		1		0		
6		JPS		3735		3.41421		3.4143		1		0		1		0		
6		EDG*		10		3.41421		3.16228		1		0		1		0		


7		A*		61827		3.82843		3.8286		1		0		1		0		
7		Dijkstra		62383		3.82843		3.8286		1		0		1		0		
7		JPS		2479		3.82843		3.8286		1		0		1		0		
7		EDG*		9		3.82843		3.60555		1		0		1		0		


8		A*		62996		2.41421		2.4143		1		0		1		0		
8		Dijkstra		62115		2.41421		2.4143		1		0		1		0		
8		JPS		661		2.41421		2.4143		1		0		1		0		
8		EDG*		9		2.41421		2.23607		1		0		1		0		


9		A*		61996		3		3		1		0		1		0		
9		Dijkstra		62153		3		3		1		0		1		0		
9		JPS		844		3		3		1		0		1		0		
9		EDG*		10		3		3		1		0		1		0		


10		A*		61386		2.82843		2.8286		1		0		1		0		
10		Dijkstra		61979		2.82843		2.8286		1		0		1		0		
10		JPS		2638		2.82843		2.8286		1		0		1		0		
10		EDG*		8		2.82843		2.82843		1		0		1		0		


11		A*		61243		5.82843		5.8286		1		0		1		0		
11		Dijkstra		61989		5.82843		5.8286		1		0		1		0		
11		JPS		970		5.82843		5.8286		1		0		1		0		
11		EDG*		11		5.82843		5.38516		1		0		1		0		


12		A*		61874		4.82843		4.8286		1		0		1		0		
12		Dijkstra		62687		4.82843		4.8286		1		0		1		0		
12		JPS		1365		4.82843		4.8286		1		0		1		0		
12		EDG*		10		4.82843		4.47214		1		0		1		0		


13		A*		60717		7.41421		7.4143		1		0		1		0		
13		Dijkstra		62440		7.41421		7.4143		1		0		1		0		
13		JPS		12824		7.41421		7.4143		1		0		1		0		
13		EDG*		13		7.41421		7.07107		1		0		1		0		


14		A*		60556		4.41421		4.4143		1		0		1		0		
14		Dijkstra		61319		4.41421		4.4143		1		0		1		0		
14		JPS		676		4.41421		4.4143		1		0		1		0		
14		EDG*		10		4.41421		4.12311		1		0		1		0		


15		A*		61031		4.41421		4.4143		1		0		1		0		
15		Dijkstra		61286		4.41421		4.4143		1		0		1		0		
15		JPS		3128		4.41421		4.4143		1		0		1		0		
15		EDG*		10		4.41421		4.12311		1		0		1		0		


16		A*		60833		4.41421		4.4143		1		0		1		0		
16		Dijkstra		61012		4.41421		4.4143		1		0		1		0		
16		JPS		408		4.41421		4.4143		1		0		1		0		
16		EDG*		11		4.41421		4.12311		1		0		1		0		


17		A*		60532		7.65685		7.6572		1		0		1		0		
17		Dijkstra		63168		7.65685		7.6572		1		0		1		0		
17		JPS		3509		7.65685		7.6572		1		0		1		0		
17		EDG*		11		7.65685		7.2111		1		0		1		0		


18		A*		64196		5.82843		5.8286		1		0		1		0		
18		Dijkstra		62317		5.82843		5.8286		1		0		1		0		
18		JPS		1303		5.82843		5.8286		1		0		1		0		
18		EDG*		11		5.82843		5.38516		1		0		1		0		


19		A*		62392		6.41421		6.4143		1		0		1		0		
19		Dijkstra		63255		6.41421		6.4143		1		0		1		0		
19		JPS		10643		6.41421		6.4143		1		0		1		0		
19		EDG*		11		6.41421		6.08276		1		0		1		0		


20		A*		62026		6		6		1		0		1		0		
20		Dijkstra		61608		6		6		1		0		1		0		
20		JPS		696		6		6		1		0		1		0		
20		EDG*		11		6		6		1		0		1		0		


21		A*		62412		11.0711		11.0715		1		0		1		0		
21		Dijkstra		66187		11.0711		11.0715		1		0		1		0		
21		JPS		1813		11.0711		11.0715		1		0		1		0		
21		EDG*		14		11.0711		10.2956		1		0		1		0		


22		A*		60896		10.4853		10.4858		1		0		1		0		
22		Dijkstra		63857		10.4853		10.4858		1		0		1		0		
22		JPS		858		10.4853		10.4858		1		0		1		0		
22		EDG*		13		10.4853		10		1		0		1		0		


23		A*		60622		11.0711		11.0715		1		0		1		0		
23		Dijkstra		64424		11.0711		11.0715		1		0		1		0		
23		JPS		931		11.0711		11.0715		1		0		1		0		
23		EDG*		14		11.0711		10.2956		1		0		1		0		


24		A*		60648		11.8284		11.8286		1		0		1		0		
24		Dijkstra		64877		11.8284		11.8286		1		0		1		0		
24		JPS		2128		11.8284		11.8286		1		0		1		0		
24		EDG*		15		11.8284		11.1803		1		0		1		0		


25		A*		61583		11		11		1		0		1		0		
25		Dijkstra		63409		11		11		1		0		1		0		
25		JPS		271		11		11		1		0		1		0		
25		EDG*		15		11		11		1		0		1		0		


26		A*		61295		11.4853		11.4858		1		0		1		0		
26		Dijkstra		64748		11.4853		11.4858		1		0		1		0		
26		JPS		1175		11.4853		11.4858		1		0		1		0		
26		EDG*		14		11.4853		10.8167		1		0		1		0		


27		A*		60564		10.8284		10.8286		1		0		1		0		
27		Dijkstra		64150		10.8284		10.8286		1		0		1		0		
27		JPS		1362		10.8284		10.8286		1		0		1		0		
27		EDG*		14		10.8284		10.198		1		0		1		0		


28		A*		62038		10.4142		10.4143		1		0		1		0		
28		Dijkstra		63133		10.4142		10.4143		1		0		1		0		
28		JPS		123		10.4142		10.4143		1		0		1		0		
28		EDG*		15		10.4142		10.0499		1		0		1		0		


29		A*		62960		11.4142		11.4143		1		0		1		0		
29		Dijkstra		66111		11.4142		11.4143		1		0		1		0		
29		JPS		2035		11.4142		11.4143		1		0		1		0		
29		EDG*		15		11.4142		11.0454		1		0		1		0		


30		A*		62625		9.65685		9.6572		1		0		1		0		
30		Dijkstra		64930		9.65685		9.6572		1		0		1		0		
30		JPS		1872		9.65685		9.6572		1		0		1		0		
30		EDG*		14		9.65685		8.94427		1		0		1		0		


31		A*		62542		15.2426		15.2429		1		0		1		0		
31		Dijkstra		70451		15.2426		15.2429		1		0		1		0		
31		JPS		8944		15.2426		15.2429		1		0		1		0		
31		EDG*		15		15.2426		14.3178		1		0		1		0		


32		A*		61636		13.4142		13.4143		1		0		1		0		
32		Dijkstra		67770		13.4142		13.4143		1		0		1		0		
32		JPS		1075		13.4142		13.4143		1		0		1		0		
32		EDG*		15		13.4142		13.0384		1		0		1		0		


33		A*		60975		14.8284		14.8286		1		0		1		0		
33		Dijkstra		67435		14.8284		14.8286		1		0		1		0		
33		JPS		4151		14.8284		14.8286		1		0		1		0		
33		EDG*		16		14.8284		14.1421		1		0		1		0		


34		A*		60542		14.8284		14.8286		1		0		1		0		
34		Dijkstra		66950		14.8284		14.8286		1		0		1		0		
34		JPS		5834		14.8284		14.8286		1		0		1		0		
34		EDG*		15		14.8284		14.1421		1		0		1		0		


35		A*		60690		14.0711		14.0715		1		0		1		0		
35		Dijkstra		66475		14.0711		14.0715		1		0		1		0		
35		JPS		15398		14.0711		14.0715		1		0		1		0		
35		EDG*		17		14.0711		13		1		0		1		0		


36		A*		62407		14.1421		14.143		1		0		1		0		
36		Dijkstra		68294		14.1421		14.143		1		0		1		0		
36		JPS		3659		14.1421		14.143		1		0		1		0		
36		EDG*		15		14.1421		14.1421		1		0		1		0		


37		A*		60756		13.8995		13.9001		1		0		1		0		
37		Dijkstra		66246		13.8995		13.9001		1		0		1		0		
37		JPS		3604		13.8995		13.9001		1		0		1		0		
37		EDG*		15		13.8995		13.0384		1		0		1		0		


38		A*		62178		12.4142		12.4143		1		0		1		0		
38		Dijkstra		67652		12.4142		12.4143		1		0		1		0		
38		JPS		9936		12.4142		12.4143		1		0		1		0		
38		EDG*		15		12.4142		12.0416		1		0		1		0		


39		A*		60691		13.8995		13.9001		1		0		1		0		
39		Dijkstra		65520		13.8995		13.9001		1		0		1		0		
39		JPS		2562		13.8995		13.9001		1		0		1		0		
39		EDG*		15		13.8995		13.0384		1		0		1		0		


40		A*		62502		13.4853		13.4858		1		0		1		0		
40		Dijkstra		68326		13.4853		13.4858		1		0		1		0		
40		JPS		2167		13.4853		13.4858		1		0		1		0		
40		EDG*		16		13.4853		12.53		1		0		1		0		


41		A*		60956		18.5563		18.5573		1		0		1		0		
41		Dijkstra		69224		18.5563		18.5573		1		0		1		0		
41		JPS		2099		18.5563		18.5573		1		0		1		0		
41		EDG*		16		18.5563		17.8045		1		0		1		0		


42		A*		62286		18.6569		18.6572		1		0		1		0		
42		Dijkstra		72746		18.6569		18.6572		1		0		1		0		
42		JPS		3180		18.6569		18.6572		1		0		1		0		
42		EDG*		17		18.6569		17.4642		1		0		1		0		


43		A*		63138		16.4853		16.4858		1		0		1		0		
43		Dijkstra		70621		16.4853		16.4858		1		0		1		0		
43		JPS		3483		16.4853		16.4858		1		0		1		0		
43		EDG*		16		16.4853		15.2315		1		0		1		0		


44		A*		62434		16.5563		16.5573		1		0		1		0		
44		Dijkstra		68946		16.5563		16.5573		1		0		1		0		
44		JPS		8556		16.5563		16.5573		1		0		1		0		
44		EDG*		17		16.5563		16.2788		1		0		1		0		


45		A*		61413		16.3137		16.3144		1		0		1		0		
45		Dijkstra		67666		16.3137		16.3144		1		0		1		0		
45		JPS		9140		16.3137		16.3144		1		0		1		0		
45		EDG*		15		16.3137		15.2643		1		0		1		0		


46		A*		60565		18.8995		18.9001		1		0		1		0		
46		Dijkstra		68901		18.8995		18.9001		1		0		1		0		
46		JPS		4503		18.8995		18.9001		1		0		1		0		
46		EDG*		17		18.8995		17.4642		1		0		1		0		


47		A*		60520		18.4853		18.4858		1		0		1		0		
47		Dijkstra		71393		18.4853		18.4858		1		0		1		0		
47		JPS		2116		18.4853		18.4858		1		0		1		0		
47		EDG*		17		18.4853		17.088		1		0		1		0		


48		A*		62606		17.6569		17.6572		1		0		1		0		
48		Dijkstra		71459		17.6569		17.6572		1		0		1		0		
48		JPS		6966		17.6569		17.6572		1		0		1		0		
48		EDG*		17		17.6569		16.4924		1		0		1		0		


49		A*		60606		19.9706		19.9716		1		0		1		0		
49		Dijkstra		72518		19.9706		19.9716		1		0		1		0		
49		JPS		9005		19.9706		19.9716		1		0		1		0		
49		EDG*		17		19.9706		19.2094		1		0		1		0		


50		A*		60572		16.4142		16.4143		1		0		1		0		
50		Dijkstra		69508		16.4142		16.4143		1		0		1		0		
50		JPS		8859		16.4142		16.4143		1		0		1		0		
50		EDG*		16		16.4142		16.0312		1		0		1		0		


51		A*		61178		20.8995		20.9001		1		0		1		0		
51		Dijkstra		73877		20.8995		20.9001		1		0		1		0		
51		JPS		11471		20.8995		20.9001		1		0		1		0		
51		EDG*		18		20.8995		19.3132		1		0		1		0		


52		A*		62096		22.1421		22.143		1		0		1		0		
52		Dijkstra		77275		22.1421		22.143		1		0		1		0		
52		JPS		7125		22.1421		22.143		1		0		1		0		
52		EDG*		17		22.1421		20.5913		1		0		1		0		


53		A*		63007		20.4853		20.4858		1		0		1		0		
53		Dijkstra		71070		20.4853		20.4858		1		0		1		0		
53		JPS		960		20.4853		20.4858		1		0		1		0		
53		EDG*		18		20.4853		18.9737		1		0		1		0		


54		A*		60728		20.8284		20.8286		1		0		1		0		
54		Dijkstra		70789		20.8284		20.8286		1		0		1		0		
54		JPS		4015		20.8284		20.8286		1		0		1		0		
54		EDG*		17		20.8284		20.0998		1		0		1		0		


55		A*		63162		23.8995		23.9001		1		0		1		0		
55		Dijkstra		80227		23.8995		23.9001		1		0		1		0		
55		JPS		9112		23.8995		23.9001		1		0		1		0		
55		EDG*		17		23.8995		22.1359		1		0		1		0		


56		A*		60709		22.9706		22.9716		1		0		1		0		
56		Dijkstra		76491		22.9706		22.9716		1		0		1		0		
56		JPS		13819		22.9706		22.9716		1		0		1		0		
56		EDG*		17		22.9706		21.6333		1		0		1		0		


57		A*		62455		22.8284		22.8286		1		0		1		0		
57		Dijkstra		75244		22.8284		22.8286		1		0		1		0		
57		JPS		1879		22.8284		22.8286		1		0		1		0		
57		EDG*		19		22.8284		22.0907		1		0		1		0		


