地图名称：Paris_1_1024.map
算例总数：3760


序号		方法		耗时(微秒)		基准长度		长度		找到解		无效解		最优解		预处理耗时(微秒)		
Seq.		Method		Time(us)		Ben.Len.		Len.		Solved		Invalid		Opt 		Pre.Map(us)		

1		A*		58893		1		1		1		0		1		0		
1		Dijkstra		58618		1		1		1		0		1		0		
1		JPS		939		1		1		1		0		1		0		
1		EDG*		8		1		1		1		0		1		121038		


2		A*		58605		2		2		1		0		1		0		
2		Dijkstra		58656		2		2		1		0		1		0		
2		JPS		791		2		2		1		0		1		0		
2		EDG*		8		2		2		1		0		1		0		


3		A*		58655		2.41421		2.4143		1		0		1		0		
3		Dijkstra		59077		2.41421		2.4143		1		0		1		0		
3		JPS		2140		2.41421		2.4143		1		0		1		0		
3		EDG*		9		2.41421		2.23607		1		0		1		0		


4		A*		61168		3.41421		3.4143		1		0		1		0		
4		Dijkstra		61312		3.41421		3.4143		1		0		1		0		
4		JPS		1551		3.41421		3.4143		1		0		1		0		
4		EDG*		11		3.41421		3.16228		1		0		1		0		


5		A*		61043		1.41421		1.4143		1		0		1		0		
5		Dijkstra		60954		1.41421		1.4143		1		0		1		0		
5		JPS		795		1.41421		1.4143		1		0		1		0		
5		EDG*		9		1.41421		1.41421		1		0		1		0		


6		A*		60450		2.41421		2.4143		1		0		1		0		
6		Dijkstra		58947		2.41421		2.4143		1		0		1		0		
6		JPS		1381		2.41421		2.4143		1		0		1		0		
6		EDG*		11		2.41421		2.23607		1		0		1		0		


7		A*		60875		1		1		1		0		1		0		
7		Dijkstra		60304		1		1		1		0		1		0		
7		JPS		1310		1		1		1		0		1		0		
7		EDG*		8		1		1		1		0		1		0		


8		A*		60029		0		0		1		0		0		0		
8		Dijkstra		60635		0		0		1		0		0		0		
8		JPS		8		0		0		1		0		0		0		
8		EDG*		3		0		0		1		0		1		0		


9		A*		61188		1.41421		1.4143		1		0		1		0		
9		Dijkstra		61468		1.41421		1.4143		1		0		1		0		
9		JPS		241		1.41421		1.4143		1		0		1		0		
9		EDG*		8		1.41421		1.41421		1		0		1		0		


10		A*		61130		2		2		1		0		1		0		
10		Dijkstra		61670		2		2		1		0		1		0		
10		JPS		1169		2		2		1		0		1		0		
10		EDG*		9		2		2		1		0		1		0		


11		A*		59234		5.82843		5.8286		1		0		1		0		
11		Dijkstra		59980		5.82843		5.8286		1		0		1		0		
11		JPS		1609		5.82843		5.8286		1		0		1		0		
11		EDG*		13		5.82843		5.38516		1		0		1		0		


12		A*		58706		4.82843		4.8286		1		0		1		0		
12		Dijkstra		59266		4.82843		4.8286		1		0		1		0		
12		JPS		6462		4.82843		4.8286		1		0		1		0		
12		EDG*		11		4.82843		4.47214		1		0		1		0		


13		A*		59543		7.24264		7.2429		1		0		1		0		
13		Dijkstra		60574		7.24264		7.2429		1		0		1		0		
13		JPS		1126		7.24264		7.2429		1		0		1		0		
13		EDG*		14		7.24264		6.7082		1		0		1		0		


14		A*		59315		5.82843		5.8286		1		0		1		0		
14		Dijkstra		59628		5.82843		5.8286		1		0		1		0		
14		JPS		2150		5.82843		5.8286		1		0		1		0		
14		EDG*		12		5.82843		5.38516		1		0		1		0		


15		A*		58816		7.82843		7.8286		1		0		1		0		
15		Dijkstra		60417		7.82843		7.8286		1		0		1		0		
15		JPS		4653		7.82843		7.8286		1		0		1		0		
15		EDG*		15		7.82843		7.28011		1		0		1		0		


16		A*		60821		5		5		1		0		1		0		
16		Dijkstra		60580		5		5		1		0		1		0		
16		JPS		298		5		5		1		0		1		0		
16		EDG*		13		5		5		1		0		1		0		


17		A*		60162		7.24264		7.2429		1		0		1		0		
17		Dijkstra		61542		7.24264		7.2429		1		0		1		0		
17		JPS		1136		7.24264		7.2429		1		0		1		0		
17		EDG*		13		7.24264		6.7082		1		0		1		0		


18		A*		61139		7.65685		7.6572		1		0		1		0		
18		Dijkstra		59964		7.65685		7.6572		1		0		1		0		
18		JPS		918		7.65685		7.6572		1		0		1		0		
18		EDG*		13		7.65685		7.2111		1		0		1		0		


19		A*		59306		4.24264		4.2429		1		0		1		0		
19		Dijkstra		59266		4.24264		4.2429		1		0		1		0		
19		JPS		299		4.24264		4.2429		1		0		1		0		
19		EDG*		11		4.24264		4.24264		1		0		1		0		


20		A*		61512		6.24264		5.6572		1		0		1		0		
20		Dijkstra		60680		6.24264		5.6572		1		0		1		0		
20		JPS		238		6.24264		5.6572		1		0		1		0		
20		EDG*		12		6.24264		5.65685		1		0		1		0		


21		A*		58731		10.6569		10.6572		1		0		1		0		
21		Dijkstra		61450		10.6569		10.6572		1		0		1		0		
21		JPS		3447		10.6569		10.6572		1		0		1		0		
21		EDG*		15		10.6569		9.84886		1		0		1		0		


22		A*		58739		9.82843		9.8286		1		0		1		0		
22		Dijkstra		61512		9.82843		9.8286		1		0		1		0		
22		JPS		792		9.82843		9.8286		1		0		1		0		
22		EDG*		14		9.82843		9.21954		1		0		1		0		


23		A*		58764		10.4142		10.4143		1		0		1		0		
23		Dijkstra		62138		10.4142		10.4143		1		0		1		0		
23		JPS		1800		10.4142		10.4143		1		0		1		0		
23		EDG*		17		10.4142		10.0499		1		0		1		0		


24		A*		58974		8.41421		8.4143		1		0		1		0		
24		Dijkstra		61039		8.41421		8.4143		1		0		1		0		
24		JPS		2325		8.41421		8.4143		1		0		1		0		
24		EDG*		15		8.41421		8.06226		1		0		1		0		


25		A*		58677		8.41421		8.4143		1		0		1		0		
25		Dijkstra		60972		8.41421		8.4143		1		0		1		0		
25		JPS		478		8.41421		8.4143		1		0		1		0		
25		EDG*		15		8.41421		8.06226		1		0		1		0		


26		A*		60987		9.65685		9.6572		1		0		1		0		
26		Dijkstra		63014		9.65685		9.6572		1		0		1		0		
26		JPS		8675		9.65685		9.6572		1		0		1		0		
26		EDG*		14		9.65685		8.94427		1		0		1		0		


27		A*		58685		8.82843		8.8286		1		0		1		0		
27		Dijkstra		61091		8.82843		8.8286		1		0		1		0		
27		JPS		2868		8.82843		8.8286		1		0		1		0		
27		EDG*		14		8.82843		8.24621		1		0		1		0		


28		A*		58717		8.41421		8.4143		1		0		1		0		
28		Dijkstra		60735		8.41421		8.4143		1		0		1		0		
28		JPS		1894		8.41421		8.4143		1		0		1		0		
28		EDG*		15		8.41421		8.06226		1		0		1		0		


29		A*		58696		9.48528		9.4858		1		0		1		0		
29		Dijkstra		61758		9.48528		9.4858		1		0		1		0		
29		JPS		367		9.48528		9.4858		1		0		1		0		
29		EDG*		15		9.48528		9.21954		1		0		1		0		


30		A*		60873		9.82843		9.8286		1		0		1		0		
30		Dijkstra		63459		9.82843		9.8286		1		0		1		0		
30		JPS		1972		9.82843		9.8286		1		0		1		0		
30		EDG*		15		9.82843		9.21954		1		0		1		0		


31		A*		60123		14.2426		14.2429		1		0		1		0		
31		Dijkstra		66410		14.2426		14.2429		1		0		1		0		
31		JPS		584		14.2426		14.2429		1		0		1		0		
31		EDG*		17		14.2426		13.3417		1		0		1		0		


32		A*		60589		15.5563		15.5573		1		0		1		0		
32		Dijkstra		67729		15.5563		15.5573		1		0		1		0		
32		JPS		933		15.5563		15.5573		1		0		1		0		
32		EDG*		16		15.5563		15.5563		1		0		1		0		


33		A*		58718		12		12		1		0		1		0		
33		Dijkstra		63027		12		12		1		0		1		0		
33		JPS		8267		12		12		1		0		1		0		
33		EDG*		16		12		12		1		0		1		0		


34		A*		58774		13.2426		13.2429		1		0		1		0		
34		Dijkstra		63675		13.2426		13.2429		1		0		1		0		
34		JPS		460		13.2426		13.2429		1		0		1		0		
34		EDG*		16		13.2426		12.3693		1		0		1		0		


35		A*		60222		13.4853		13.4858		1		0		1		0		
35		Dijkstra		64231		13.4853		13.4858		1		0		1		0		
35		JPS		3924		13.4853		13.4858		1		0		1		0		
35		EDG*		15		13.4853		12.53		1		0		1		0		


36		A*		58683		13.8995		13.9001		1		0		1		0		
36		Dijkstra		65217		13.8995		13.9001		1		0		1		0		
36		JPS		272		13.8995		13.9001		1		0		1		0		
36		EDG*		21		13.8995		13.0384		1		0		1		0		


37		A*		60359		12.6569		12.6572		1		0		1		0		
37		Dijkstra		64979		12.6569		12.6572		1		0		1		0		
37		JPS		1006		12.6569		12.6572		1		0		1		0		
37		EDG*		18		12.6569		11.7047		1		0		1		0		


38		A*		60037		13.3137		13.3144		1		0		1		0		
38		Dijkstra		65498		13.3137		13.3144		1		0		1		0		
38		JPS		919		13.3137		13.3144		1		0		1		0		
38		EDG*		16		13.3137		12.8062		1		0		1		0		


39		A*		59165		15.4142		14.8286		1		0		1		0		
39		Dijkstra		62303		15.4142		14.8286		1		0		1		0		
39		JPS		488		15.4142		14.8286		1		0		1		0		
39		EDG*		144		15.4142		15.0416		1		0		1		0		


40		A*		58625		12.3137		12.3144		1		0		1		0		
40		Dijkstra		63579		12.3137		12.3144		1		0		1		0		
40		JPS		3690		12.3137		12.3144		1		0		1		0		
40		EDG*		15		12.3137		12.0416		1		0		1		0		


41		A*		58740		16		16		1		0		1		0		
41		Dijkstra		66711		16		16		1		0		1		0		
41		JPS		3552		16		16		1		0		1		0		
41		EDG*		19		16		16		1		0		1		0		


42		A*		60990		16.8995		16.9001		1		0		1		0		
42		Dijkstra		71488		16.8995		16.9001		1		0		1		0		
42		JPS		1132		16.8995		16.9001		1		0		1		0		
42		EDG*		17		16.8995		15.6525		1		0		1		0		


43		A*		58674		17.3137		17.3144		1		0		1		0		
43		Dijkstra		65141		17.3137		17.3144		1		0		1		0		
43		JPS		3760		17.3137		17.3144		1		0		1		0		
43		EDG*		17		17.3137		16.1245		1		0		1		0		


44		A*		58811		18.6569		18.6572		1		0		1		0		
44		Dijkstra		69081		18.6569		18.6572		1		0		1		0		
44		JPS		758		18.6569		18.6572		1		0		1		0		
44		EDG*		19		18.6569		17.4642		1		0		1		0		


45		A*		60925		18.3848		18.3859		1		0		1		0		
45		Dijkstra		65968		18.3848		18.3859		1		0		1		0		
45		JPS		761		18.3848		18.3859		1		0		1		0		
45		EDG*		17		18.3848		18.3848		1		0		1		0		


46		A*		61132		16.0711		16.0715		1		0		1		0		
46		Dijkstra		68065		16.0711		16.0715		1		0		1		0		
46		JPS		1025		16.0711		16.0715		1		0		1		0		
46		EDG*		17		16.0711		14.8661		1		0		1		0		


47		A*		60794		19.3137		19.3144		1		0		1		0		
47		Dijkstra		69994		19.3137		19.3144		1		0		1		0		
47		JPS		1028		19.3137		19.3144		1		0		1		0		
47		EDG*		23		19.3137		17.8885		1		0		1		0		


48		A*		58808		18.6569		18.6572		1		0		1		0		
48		Dijkstra		67044		18.6569		18.6572		1		0		1		0		
48		JPS		2220		18.6569		18.6572		1		0		1		0		
48		EDG*		17		18.6569		17.4642		1		0		1		0		


49		A*		61084		16.6569		16.6572		1		0		1		0		
49		Dijkstra		66957		16.6569		16.6572		1		0		1		0		
49		JPS		1023		16.6569		16.6572		1		0		1		0		
49		EDG*		18		16.6569		15.5242		1		0		1		0		


50		A*		58769		16.7279		16.7287		1		0		1		0		
50		Dijkstra		67953		16.7279		16.7287		1		0		1		0		
50		JPS		2923		16.7279		16.7287		1		0		1		0		
50		EDG*		17		16.7279		15.8114		1		0		1		0		


51		A*		58753		21.3137		21.3144		1		0		1		0		
51		Dijkstra		72277		21.3137		21.3144		1		0		1		0		
51		JPS		1033		21.3137		21.3144		1		0		1		0		
51		EDG*		19		21.3137		19.6977		1		0		1		0		


52		A*		61014		20.5563		20.5573		1		0		1		0		
52		Dijkstra		70139		20.5563		20.5573		1		0		1		0		
52		JPS		796		20.5563		20.5573		1		0		1		0		
52		EDG*		19		20.5563		19.4165		1		0		1		0		


53		A*		59149		23.9706		23.9716		1		0		1		0		
53		Dijkstra		71101		23.9706		23.9716		1		0		1		0		
53		JPS		1129		23.9706		23.9716		1		0		1		0		
53		EDG*		20		23.9706		22.4722		1		0		1		0		


54		A*		59330		20.1421		20.143		1		0		1		0		
54		Dijkstra		71091		20.1421		20.143		1		0		1		0		
54		JPS		7199		20.1421		20.143		1		0		1		0		
54		EDG*		19		20.1421		18.868		1		0		1		0		


55		A*		58895		22.0711		22.0715		1		0		1		0		
55		Dijkstra		64160		22.0711		22.0715		1		0		1		0		
55		JPS		214		22.0711		22.0715		1		0		1		0		
55		EDG*		117		22.0711		20.6725		1		0		1		0		


56		A*		58915		20.3137		19.7287		1		0		1		0		
56		Dijkstra		69537		20.3137		19.7287		1		0		1		0		
56		JPS		525		20.3137		19.7287		1		0		1		0		
56		EDG*		179		20.3137		18.7931		1		0		1		0		


57		A*		59043		20.5563		20.5573		1		0		1		0		
57		Dijkstra		71442		20.5563		20.5573		1		0		1		0		
57		JPS		3814		20.5563		20.5573		1		0		1		0		
57		EDG*		19		20.5563		19.4165		1		0		1		0		


58		A*		58838		23.2132		23.2145		1		0		1		0		
58		Dijkstra		74712		23.2132		23.2145		1		0		1		0		
