地图名称：Sydney_1_1024.map
算例总数：3670


序号		方法		耗时(微秒)		基准长度		长度		找到解		无效解		最优解		预处理耗时(微秒)		
Seq.		Method		Time(us)		Ben.Len.		Len.		Solved		Invalid		Opt 		Pre.Map(us)		

1		A*		60417		2.41421		2.4143		1		0		1		0		
1		Dijkstra		60265		2.41421		2.4143		1		0		1		0		
1		JPS		6736		2.41421		2.4143		1		0		1		0		
1		EDG*		8		2.41421		2.23607		1		0		1		89511		


2		A*		62700		3		3		1		0		1		0		
2		Dijkstra		60873		3		3		1		0		1		0		
2		JPS		14000		3		3		1		0		1		0		
2		EDG*		10		3		3		1		0		1		0		


3		A*		63239		1.41421		1.4143		1		0		1		0		
3		Dijkstra		63146		1.41421		1.4143		1		0		1		0		
3		JPS		1491		1.41421		1.4143		1		0		1		0		
3		EDG*		7		1.41421		1.41421		1		0		1		0		


4		A*		73351		3.82843		3.8286		1		0		1		0		
4		Dijkstra		63568		3.82843		3.8286		1		0		1		0		
4		JPS		4389		3.82843		3.8286		1		0		1		0		
4		EDG*		10		3.82843		3.60555		1		0		1		0		


5		A*		78434		1.41421		1.4143		1		0		1		0		
5		Dijkstra		63313		1.41421		1.4143		1		0		1		0		
5		JPS		6722		1.41421		1.4143		1		0		1		0		
5		EDG*		7		1.41421		1.41421		1		0		1		0		


6		A*		60701		2.41421		2.4143		1		0		1		0		
6		Dijkstra		60646		2.41421		2.4143		1		0		1		0		
6		JPS		906		2.41421		2.4143		1		0		1		0		
6		EDG*		8		2.41421		2.23607		1		0		1		0		


7		A*		62336		2		2		1		0		1		0		
7		Dijkstra		59456		2		2		1		0		1		0		
7		JPS		1802		2		2		1		0		1		0		
7		EDG*		8		2		2		1		0		1		0		


8		A*		62601		3.41421		3.4143		1		0		1		0		
8		Dijkstra		60998		3.41421		3.4143		1		0		1		0		
8		JPS		16770		3.41421		3.4143		1		0		1		0		
8		EDG*		10		3.41421		3.16228		1		0		1		0		


9		A*		61133		3.41421		3.4143		1		0		1		0		
9		Dijkstra		61160		3.41421		3.4143		1		0		1		0		
9		JPS		8930		3.41421		3.4143		1		0		1		0		
9		EDG*		10		3.41421		3.16228		1		0		1		0		


10		A*		60680		2.41421		2.4143		1		0		1		0		
10		Dijkstra		60644		2.41421		2.4143		1		0		1		0		
10		JPS		9315		2.41421		2.4143		1		0		1		0		
10		EDG*		8		2.41421		2.23607		1		0		1		0		


11		A*		60499		4		4		1		0		1		0		
11		Dijkstra		60950		4		4		1		0		1		0		
11		JPS		6176		4		4		1		0		1		0		
11		EDG*		11		4		4		1		0		1		0		


12		A*		60727		7		7		1		0		1		0		
12		Dijkstra		60462		7		7		1		0		1		0		
12		JPS		1783		7		7		1		0		1		0		
12		EDG*		13		7		7		1		0		1		0		


13		A*		60647		7.82843		7.8286		1		0		1		0		
13		Dijkstra		62297		7.82843		7.8286		1		0		1		0		
13		JPS		2387		7.82843		7.8286		1		0		1		0		
13		EDG*		13		7.82843		7.28011		1		0		1		0		


14		A*		60663		7.41421		7.4143		1		0		1		0		
14		Dijkstra		61158		7.41421		7.4143		1		0		1		0		
14		JPS		1961		7.41421		7.4143		1		0		1		0		
14		EDG*		13		7.41421		7.07107		1		0		1		0		


15		A*		60593		7		7		1		0		1		0		
15		Dijkstra		61828		7		7		1		0		1		0		
15		JPS		10888		7		7		1		0		1		0		
15		EDG*		15		7		7		1		0		1		0		


16		A*		62823		7.24264		7.2429		1		0		1		0		
16		Dijkstra		63913		7.24264		7.2429		1		0		1		0		
16		JPS		2821		7.24264		7.2429		1		0		1		0		
16		EDG*		13		7.24264		6.7082		1		0		1		0		


17		A*		60546		4.24264		4.2429		1		0		1		0		
17		Dijkstra		59755		4.24264		4.2429		1		0		1		0		
17		JPS		22594		4.24264		4.2429		1		0		1		0		
17		EDG*		10		4.24264		4.24264		1		0		1		0		


18		A*		62259		6		6		1		0		1		0		
18		Dijkstra		61303		6		6		1		0		1		0		
18		JPS		1481		6		6		1		0		1		0		
18		EDG*		12		6		6		1		0		1		0		


19		A*		60555		6.41421		6.4143		1		0		1		0		
19		Dijkstra		61838		6.41421		6.4143		1		0		1		0		
19		JPS		5789		6.41421		6.4143		1		0		1		0		
19		EDG*		11		6.41421		6.08276		1		0		1		0		


20		A*		60443		7.24264		7.2429		1		0		1		0		
20		Dijkstra		62088		7.24264		7.2429		1		0		1		0		
20		JPS		21978		7.24264		7.2429		1		0		1		0		
20		EDG*		12		7.24264		6.7082		1		0		1		0		


21		A*		61544		8.65685		8.6572		1		0		1		0		
21		Dijkstra		62797		8.65685		8.6572		1		0		1		0		
21		JPS		2658		8.65685		8.6572		1		0		1		0		
21		EDG*		13		8.65685		8.06226		1		0		1		0		


22		A*		59562		9.07107		9.0715		1		0		1		0		
22		Dijkstra		62585		9.07107		9.0715		1		0		1		0		
22		JPS		14953		9.07107		9.0715		1		0		1		0		
22		EDG*		13		9.07107		8.60233		1		0		1		0		


23		A*		61206		9.48528		9.4858		1		0		1		0		
23		Dijkstra		63182		9.48528		9.4858		1		0		1		0		
23		JPS		11560		9.48528		9.4858		1		0		1		0		
23		EDG*		13		9.48528		9.21954		1		0		1		0		


24		A*		62907		11.8995		11.9001		1		0		1		0		
24		Dijkstra		65068		11.8995		11.9001		1		0		1		0		
24		JPS		2803		11.8995		11.9001		1		0		1		0		
24		EDG*		14		11.8995		11.4018		1		0		1		0		


25		A*		60549		10.0711		10.0715		1		0		1		0		
25		Dijkstra		64672		10.0711		10.0715		1		0		1		0		
25		JPS		1192		10.0711		10.0715		1		0		1		0		
25		EDG*		14		10.0711		9.43398		1		0		1		0		


26		A*		60661		9.41421		9.4143		1		0		1		0		
26		Dijkstra		63002		9.41421		9.4143		1		0		1		0		
26		JPS		19399		9.41421		9.4143		1		0		1		0		
26		EDG*		13		9.41421		9.05539		1		0		1		0		


27		A*		60849		8.24264		8.2429		1		0		1		0		
27		Dijkstra		62554		8.24264		8.2429		1		0		1		0		
27		JPS		5586		8.24264		8.2429		1		0		1		0		
27		EDG*		13		8.24264		7.61577		1		0		1		0		


28		A*		60833		11.4142		11.4143		1		0		1		0		
28		Dijkstra		65641		11.4142		11.4143		1		0		1		0		
28		JPS		13006		11.4142		11.4143		1		0		1		0		
28		EDG*		15		11.4142		11.0454		1		0		1		0		


29		A*		60832		10.0711		10.0715		1		0		1		0		
29		Dijkstra		63380		10.0711		10.0715		1		0		1		0		
29		JPS		11240		10.0711		10.0715		1		0		1		0		
29		EDG*		14		10.0711		9.43398		1		0		1		0		


30		A*		61092		10.2426		10.2429		1		0		1		0		
30		Dijkstra		63608		10.2426		10.2429		1		0		1		0		
30		JPS		13746		10.2426		10.2429		1		0		1		0		
30		EDG*		14		10.2426		9.48683		1		0		1		0		


31		A*		60617		14.8284		14.8286		1		0		1		0		
31		Dijkstra		69387		14.8284		14.8286		1		0		1		0		
31		JPS		6607		14.8284		14.8286		1		0		1		0		
31		EDG*		16		14.8284		14.1421		1		0		1		0		


32		A*		60381		15.4853		15.4858		1		0		1		0		
32		Dijkstra		67585		15.4853		15.4858		1		0		1		0		
32		JPS		7025		15.4853		15.4858		1		0		1		0		
32		EDG*		15		15.4853		14.3178		1		0		1		0		


33		A*		60756		13		13		1		0		1		0		
33		Dijkstra		65678		13		13		1		0		1		0		
33		JPS		11635		13		13		1		0		1		0		
33		EDG*		15		13		13		1		0		1		0		


34		A*		60862		13.8995		13.9001		1		0		1		0		
34		Dijkstra		66591		13.8995		13.9001		1		0		1		0		
34		JPS		24706		13.8995		13.9001		1		0		1		0		
34		EDG*		15		13.8995		13.0384		1		0		1		0		


35		A*		61707		12.4853		12.4858		1		0		1		0		
35		Dijkstra		65500		12.4853		12.4858		1		0		1		0		
35		JPS		14050		12.4853		12.4858		1		0		1		0		
35		EDG*		15		12.4853		11.6619		1		0		1		0		


36		A*		60892		15.1421		15.143		1		0		1		0		
36		Dijkstra		66449		15.1421		15.143		1		0		1		0		
36		JPS		23891		15.1421		15.143		1		0		1		0		
36		EDG*		15		15.1421		14.8661		1		0		1		0		


37		A*		61010		15.3137		15.3144		1		0		1		0		
37		Dijkstra		68127		15.3137		15.3144		1		0		1		0		
37		JPS		18467		15.3137		15.3144		1		0		1		0		
37		EDG*		15		15.3137		14.4222		1		0		1		0		


38		A*		62218		15.1421		15.143		1		0		1		0		
38		Dijkstra		67579		15.1421		15.143		1		0		1		0		
38		JPS		27173		15.1421		15.143		1		0		1		0		
38		EDG*		15		15.1421		14.8661		1		0		1		0		


39		A*		61020		13.0711		13.0715		1		0		1		0		
39		Dijkstra		66165		13.0711		13.0715		1		0		1		0		
39		JPS		4845		13.0711		13.0715		1		0		1		0		
39		EDG*		15		13.0711		12.083		1		0		1		0		


40		A*		61114		15.8284		15.8286		1		0		1		0		
40		Dijkstra		68825		15.8284		15.8286		1		0		1		0		
40		JPS		9581		15.8284		15.8286		1		0		1		0		
40		EDG*		16		15.8284		15.1327		1		0		1		0		


41		A*		60038		19		19		1		0		1		0		
41		Dijkstra		68695		19		19		1		0		1		0		
41		JPS		5379		19		19		1		0		1		0		
41		EDG*		17		19		19		1		0		1		0		


42		A*		62953		17.8284		17.8286		1		0		1		0		
42		Dijkstra		70904		17.8284		17.8286		1		0		1		0		
42		JPS		5202		17.8284		17.8286		1		0		1		0		
42		EDG*		17		17.8284		17.1172		1		0		1		0		


43		A*		60759		19.3848		19.3859		1		0		1		0		
43		Dijkstra		71917		19.3848		19.3859		1		0		1		0		
43		JPS		7644		19.3848		19.3859		1		0		1		0		
43		EDG*		16		19.3848		19.105		1		0		1		0		


44		A*		60835		17.8995		17.9001		1		0		1		0		
44		Dijkstra		70239		17.8995		17.9001		1		0		1		0		
44		JPS		6754		17.8995		17.9001		1		0		1		0		
44		EDG*		17		17.8995		16.5529		1		0		1		0		


45		A*		62543		19.7279		19.7287		1		0		1		0		
45		Dijkstra		72384		19.7279		19.7287		1		0		1		0		
45		JPS		3156		19.7279		19.7287		1		0		1		0		
45		EDG*		17		19.7279		18.3576		1		0		1		0		


46		A*		60342		16.8284		16.8286		1		0		1		0		
46		Dijkstra		68864		16.8284		16.8286		1		0		1		0		
46		JPS		17829		16.8284		16.8286		1		0		1		0		
46		EDG*		18		16.8284		16.1245		1		0		1		0		


47		A*		62809		17.9706		17.9716		1		0		1		0		
47		Dijkstra		70337		17.9706		17.9716		1		0		1		0		
47		JPS		13627		17.9706		17.9716		1		0		1		0		
47		EDG*		16		17.9706		17.6918		1		0		1		0		


48		A*		60688		17.8284		17.8286		1		0		1		0		
48		Dijkstra		67852		17.8284		17.8286		1		0		1		0		
48		JPS		4014		17.8284		17.8286		1		0		1		0		
48		EDG*		18		17.8284		17.1172		1		0		1		0		


49		A*		61586		17.0711		17.0715		1		0		1		0		
49		Dijkstra		69206		17.0711		17.0715		1		0		1		0		
49		JPS		5656		17.0711		17.0715		1		0		1		0		
49		EDG*		17		17.0711		15.8114		1		0		1		0		


50		A*		63613		16.2426		16.2429		1		0		1		0		
50		Dijkstra		67533		16.2426		16.2429		1		0		1		0		
50		JPS		7478		16.2426		16.2429		1		0		1		0		
50		EDG*		17		16.2426		15.2971		1		0		1		0		


51		A*		61029		23.0711		23.0715		1		0		1		0		
51		Dijkstra		76992		23.0711		23.0715		1		0		1		0		
51		JPS		17279		23.0711		23.0715		1		0		1		0		
51		EDG*		17		23.0711		21.587		1		0		1		0		


52		A*		60880		23.799		23.8002		1		0		1		0		
52		Dijkstra		77706		23.799		23.8002		1		0		1		0		
52		JPS		4306		23.799		23.8002		1		0		1		0		
52		EDG*		18		23.799		22.8035		1		0		1		0		


53		A*		60830		21.7279		21.7287		1		0		1		0		
53		Dijkstra		75198		21.7279		21.7287		1		0		1		0		
53		JPS		12486		21.7279		21.7287		1		0		1		0		
53		EDG*		17		21.7279		20.1246		1		0		1		0		


54		A*		60685		21.6569		21.6572		1		0		1		0		
54		Dijkstra		74600		21.6569		21.6572		1		0		1		0		
54		JPS		9090		21.6569		21.6572		1		0		1		0		
54		EDG*		19		21.6569		20.3961		1		0		1		0		


55		A*		59638		21.2132		21.2145		1		0		1		0		
55		Dijkstra		73750		21.2132		21.2145		1		0		1		0		
55		JPS		10319		21.2132		21.2145		1		0		1		0		
55		EDG*		17		21.2132		21.2132		1		0		1		0		


56		A*		60681		20.8995		20.9001		1		0		1		0		
56		Dijkstra		74522		20.8995		20.9001		1		0		1		0		
56		JPS		7899		20.8995		20.9001		1		0		1		0		
56		EDG*		19		20.8995		19.3132		1		0		1		0		


57		A*		60747		20.0711		20.0715		1		0		1		0		
57		Dijkstra		71438		20.0711		20.0715		1		0		1		0		
57		JPS		4042		20.0711		20.0715		1		0		1		0		
57		EDG*		17		20.0711		18.6815		1		0		1		0		


58		A*		61171		23.6274		23.6288		1		0		1		0		
58		Dijkstra		75551		23.6274		23.6288		1		0		1		0		
