地图名称：Berlin_0_1024.map
算例总数：3850


序号		方法		耗时(微秒)		基准长度		长度		找到解		无效解		最优解		预处理耗时(微秒)		
Seq.		Method		Time(us)		Ben.Len.		Len.		Solved		Invalid		Opt 		Pre.Map(us)		

1		A*		64365		2		2		1		0		1		0		
1		Dijkstra		68651		2		2		1		0		1		0		
1		JPS		14091		2		2		1		0		1		0		
1		EDG*		12		2		2		1		0		1		99113		


2		A*		63847		2		2		1		0		1		0		
2		Dijkstra		63454		2		2		1		0		1		0		
2		JPS		1279		2		2		1		0		1		0		
2		EDG*		8		2		2		1		0		1		0		


3		A*		88939		2.41421		2.4143		1		0		1		0		
3		Dijkstra		63945		2.41421		2.4143		1		0		1		0		
3		JPS		4749		2.41421		2.4143		1		0		1		0		
3		EDG*		8		2.41421		2.23607		1		0		1		0		


4		A*		63990		2.41421		2.4143		1		0		1		0		
4		Dijkstra		63729		2.41421		2.4143		1		0		1		0		
4		JPS		7037		2.41421		2.4143		1		0		1		0		
4		EDG*		9		2.41421		2.23607		1		0		1		0		


5		A*		62929		3.41421		3.4143		1		0		1		0		
5		Dijkstra		62196		3.41421		3.4143		1		0		1		0		
5		JPS		5279		3.41421		3.4143		1		0		1		0		
5		EDG*		10		3.41421		3.16228		1		0		1		0		


6		A*		62967		3.82843		3.8286		1		0		1		0		
6		Dijkstra		63924		3.82843		3.8286		1		0		1		0		
6		JPS		6782		3.82843		3.8286		1		0		1		0		
6		EDG*		10		3.82843		3.60555		1		0		1		0		


7		A*		70529		1.41421		1.4143		1		0		1		0		
7		Dijkstra		71637		1.41421		1.4143		1		0		1		0		
7		JPS		3816		1.41421		1.4143		1		0		1		0		
7		EDG*		7		1.41421		1.41421		1		0		1		0		


8		A*		63921		2		2		1		0		1		0		
8		Dijkstra		62387		2		2		1		0		1		0		
8		JPS		2194		2		2		1		0		1		0		
8		EDG*		8		2		2		1		0		1		0		


9		A*		94014		1		1		1		0		1		0		
9		Dijkstra		61341		1		1		1		0		1		0		
9		JPS		533		1		1		1		0		1		0		
9		EDG*		7		1		1		1		0		1		0		


10		A*		63816		1.41421		1.4143		1		0		1		0		
10		Dijkstra		61232		1.41421		1.4143		1		0		1		0		
10		JPS		10031		1.41421		1.4143		1		0		1		0		
10		EDG*		7		1.41421		1.41421		1		0		1		0		


11		A*		61850		7.24264		7.2429		1		0		1		0		
11		Dijkstra		63365		7.24264		7.2429		1		0		1		0		
11		JPS		4531		7.24264		7.2429		1		0		1		0		
11		EDG*		12		7.24264		6.7082		1		0		1		0		


12		A*		62109		4.24264		4.2429		1		0		1		0		
12		Dijkstra		63389		4.24264		4.2429		1		0		1		0		
12		JPS		1017		4.24264		4.2429		1		0		1		0		
12		EDG*		9		4.24264		4.24264		1		0		1		0		


13		A*		63102		5.41421		5.4143		1		0		1		0		
13		Dijkstra		62700		5.41421		5.4143		1		0		1		0		
13		JPS		8489		5.41421		5.4143		1		0		1		0		
13		EDG*		12		5.41421		5.09902		1		0		1		0		


14		A*		63155		7.07107		7.0715		1		0		1		0		
14		Dijkstra		64249		7.07107		7.0715		1		0		1		0		
14		JPS		6427		7.07107		7.0715		1		0		1		0		
14		EDG*		11		7.07107		7.07107		1		0		1		0		


15		A*		60930		5.24264		5.2429		1		0		1		0		
15		Dijkstra		88983		5.24264		5.2429		1		0		1		0		
15		JPS		4272		5.24264		5.2429		1		0		1		0		
15		EDG*		10		5.24264		5		1		0		1		0		


16		A*		63362		6		6		1		0		1		0		
16		Dijkstra		64329		6		6		1		0		1		0		
16		JPS		948		6		6		1		0		1		0		
16		EDG*		12		6		6		1		0		1		0		


17		A*		63493		5.65685		5.6572		1		0		1		0		
17		Dijkstra		63577		5.65685		5.6572		1		0		1		0		
17		JPS		3176		5.65685		5.6572		1		0		1		0		
17		EDG*		11		5.65685		5.65685		1		0		1		0		


18		A*		63830		6.41421		6.4143		1		0		1		0		
18		Dijkstra		64373		6.41421		6.4143		1		0		1		0		
18		JPS		4845		6.41421		6.4143		1		0		1		0		
18		EDG*		12		6.41421		6.08276		1		0		1		0		


19		A*		63844		6.41421		6.4143		1		0		1		0		
19		Dijkstra		65592		6.41421		6.4143		1		0		1		0		
19		JPS		5779		6.41421		6.4143		1		0		1		0		
19		EDG*		12		6.41421		6.08276		1		0		1		0		


20		A*		63180		6.65685		6.6572		1		0		1		0		
20		Dijkstra		64621		6.65685		6.6572		1		0		1		0		
20		JPS		716		6.65685		6.6572		1		0		1		0		
20		EDG*		11		6.65685		6.40312		1		0		1		0		


21		A*		62876		11.6569		11.6572		1		0		1		0		
21		Dijkstra		67456		11.6569		11.6572		1		0		1		0		
21		JPS		9247		11.6569		11.6572		1		0		1		0		
21		EDG*		15		11.6569		10.7703		1		0		1		0		


22		A*		64125		8.07107		8.0715		1		0		1		0		
22		Dijkstra		73716		8.07107		8.0715		1		0		1		0		
22		JPS		24159		8.07107		8.0715		1		0		1		0		
22		EDG*		20		8.07107		7.81025		1		0		1		0		


23		A*		104160		8.41421		8.4143		1		0		1		0		
23		Dijkstra		81431		8.41421		8.4143		1		0		1		0		
23		JPS		7130		8.41421		8.4143		1		0		1		0		
23		EDG*		14		8.41421		8.06226		1		0		1		0		


24		A*		60115		8.41421		8.4143		1		0		1		0		
24		Dijkstra		68063		8.41421		8.4143		1		0		1		0		
24		JPS		10556		8.41421		8.4143		1		0		1		0		
24		EDG*		13		8.41421		8.06226		1		0		1		0		


25		A*		61622		8.48528		8.4858		1		0		1		0		
25		Dijkstra		65346		8.48528		8.4858		1		0		1		0		
25		JPS		1375		8.48528		8.4858		1		0		1		0		
25		EDG*		12		8.48528		8.48528		1		0		1		0		


26		A*		62461		11		11		1		0		1		0		
26		Dijkstra		67297		11		11		1		0		1		0		
26		JPS		4647		11		11		1		0		1		0		
26		EDG*		15		11		11		1		0		1		0		


27		A*		63525		9.24264		9.2429		1		0		1		0		
27		Dijkstra		67095		9.24264		9.2429		1		0		1		0		
27		JPS		7701		9.24264		9.2429		1		0		1		0		
27		EDG*		13		9.24264		8.544		1		0		1		0		


28		A*		62519		11.4142		11.4143		1		0		1		0		
28		Dijkstra		66141		11.4142		11.4143		1		0		1		0		
28		JPS		4179		11.4142		11.4143		1		0		1		0		
28		EDG*		15		11.4142		11.0454		1		0		1		0		


29		A*		62858		11.8995		11.9001		1		0		1		0		
29		Dijkstra		66917		11.8995		11.9001		1		0		1		0		
29		JPS		11290		11.8995		11.9001		1		0		1		0		
29		EDG*		14		11.8995		11.4018		1		0		1		0		


30		A*		62936		11.0711		11.0715		1		0		1		0		
30		Dijkstra		65165		11.0711		11.0715		1		0		1		0		
30		JPS		3389		11.0711		11.0715		1		0		1		0		
30		EDG*		14		11.0711		10.2956		1		0		1		0		


31		A*		90071		14.6569		14.6572		1		0		1		0		
31		Dijkstra		68754		14.6569		14.6572		1		0		1		0		
31		JPS		2281		14.6569		14.6572		1		0		1		0		
31		EDG*		15		14.6569		13.6015		1		0		1		0		


32		A*		61873		14.7279		14.7287		1		0		1		0		
32		Dijkstra		69072		14.7279		14.7287		1		0		1		0		
32		JPS		6004		14.7279		14.7287		1		0		1		0		
32		EDG*		16		14.7279		14.2127		1		0		1		0		


33		A*		64148		13.8995		13.9001		1		0		1		0		
33		Dijkstra		66974		13.8995		13.9001		1		0		1		0		
33		JPS		2661		13.8995		13.9001		1		0		1		0		
33		EDG*		15		13.8995		13.0384		1		0		1		0		


34		A*		61390		15.4853		15.4858		1		0		1		0		
34		Dijkstra		85221		15.4853		15.4858		1		0		1		0		
34		JPS		4236		15.4853		15.4858		1		0		1		0		
34		EDG*		16		15.4853		14.3178		1		0		1		0		


35		A*		62859		14.4142		14.4143		1		0		1		0		
35		Dijkstra		68518		14.4142		14.4143		1		0		1		0		
35		JPS		13758		14.4142		14.4143		1		0		1		0		
35		EDG*		15		14.4142		14.0357		1		0		1		0		


36		A*		62358		14.8995		14.9001		1		0		1		0		
36		Dijkstra		69581		14.8995		14.9001		1		0		1		0		
36		JPS		3724		14.8995		14.9001		1		0		1		0		
36		EDG*		16		14.8995		13.8924		1		0		1		0		


37		A*		63219		13.3137		13.3144		1		0		1		0		
37		Dijkstra		67369		13.3137		13.3144		1		0		1		0		
37		JPS		5705		13.3137		13.3144		1		0		1		0		
37		EDG*		15		13.3137		12.8062		1		0		1		0		


38		A*		60793		15.4853		15.4858		1		0		1		0		
38		Dijkstra		70327		15.4853		15.4858		1		0		1		0		
38		JPS		1370		15.4853		15.4858		1		0		1		0		
38		EDG*		15		15.4853		14.3178		1		0		1		0		


39		A*		61799		14.2426		14.2429		1		0		1		0		
39		Dijkstra		67460		14.2426		14.2429		1		0		1		0		
39		JPS		12798		14.2426		14.2429		1		0		1		0		
39		EDG*		16		14.2426		13.3417		1		0		1		0		


40		A*		62631		15.3137		15.3144		1		0		1		0		
40		Dijkstra		68727		15.3137		15.3144		1		0		1		0		
40		JPS		7739		15.3137		15.3144		1		0		1		0		
40		EDG*		15		15.3137		14.4222		1		0		1		0		


41		A*		61765		19.6569		19.6572		1		0		1		0		
41		Dijkstra		74255		19.6569		19.6572		1		0		1		0		
41		JPS		4830		19.6569		19.6572		1		0		1		0		
41		EDG*		17		19.6569		18.4391		1		0		1		0		


42		A*		61933		18.4853		18.4858		1		0		1		0		
42		Dijkstra		71377		18.4853		18.4858		1		0		1		0		
42		JPS		1895		18.4853		18.4858		1		0		1		0		
42		EDG*		17		18.4853		17.088		1		0		1		0		


43		A*		61695		18.6569		18.6572		1		0		1		0		
43		Dijkstra		91349		18.6569		18.6572		1		0		1		0		
43		JPS		3020		18.6569		18.6572		1		0		1		0		
43		EDG*		17		18.6569		17.4642		1		0		1		0		


44		A*		62063		19.8995		19.9001		1		0		1		0		
44		Dijkstra		74286		19.8995		19.9001		1		0		1		0		
44		JPS		7809		19.8995		19.9001		1		0		1		0		
44		EDG*		17		19.8995		18.3848		1		0		1		0		


45		A*		62906		16.8995		16.9001		1		0		1		0		
45		Dijkstra		71193		16.8995		16.9001		1		0		1		0		
45		JPS		3503		16.8995		16.9001		1		0		1		0		
45		EDG*		16		16.8995		15.6525		1		0		1		0		


46		A*		62358		17.3137		17.3144		1		0		1		0		
46		Dijkstra		71635		17.3137		17.3144		1		0		1		0		
46		JPS		3338		17.3137		17.3144		1		0		1		0		
46		EDG*		17		17.3137		16.1245		1		0		1		0		


47		A*		60961		19.8995		19.9001		1		0		1		0		
47		Dijkstra		81097		19.8995		19.9001		1		0		1		0		
47		JPS		4508		19.8995		19.9001		1		0		1		0		
47		EDG*		18		19.8995		18.3848		1		0		1		0		


48		A*		61952		18.0711		18.0715		1		0		1		0		
48		Dijkstra		73349		18.0711		18.0715		1		0		1		0		
48		JPS		7863		18.0711		18.0715		1		0		1		0		
48		EDG*		17		18.0711		16.7631		1		0		1		0		


49		A*		63652		19.8995		19.9001		1		0		1		0		
49		Dijkstra		79759		19.8995		19.9001		1		0		1		0		
49		JPS		8360		19.8995		19.9001		1		0		1		0		
49		EDG*		17		19.8995		18.3848		1		0		1		0		


50		A*		63241		19		19		1		0		1		0		
50		Dijkstra		81749		19		19		1		0		1		0		
50		JPS		8775		19		19		1		0		1		0		
50		EDG*		16		19		19		1		0		1		0		


51		A*		62118		23.2426		23.2429		1		0		1		0		
51		Dijkstra		80125		23.2426		23.2429		1		0		1		0		
51		JPS		11362		23.2426		23.2429		1		0		1		0		
51		EDG*		19		23.2426		22.2036		1		0		1		0		


52		A*		61361		23.7279		23.7287		1		0		1		0		
52		Dijkstra		74632		23.7279		23.7287		1		0		1		0		
52		JPS		496		23.7279		23.7287		1		0		1		0		
52		EDG*		18		23.7279		21.9317		1		0		1		0		


53		A*		63478		23		23		1		0		1		0		
53		Dijkstra		81855		23		23		1		0		1		0		
53		JPS		5251		23		23		1		0		1		0		
53		EDG*		19		23		23		1		0		1		0		


54		A*		62418		21.8995		21.9001		1		0		1		0		
54		Dijkstra		77186		21.8995		21.9001		1		0		1		0		
54		JPS		5081		21.8995		21.9001		1		0		1		0		
54		EDG*		18		21.8995		20.2485		1		0		1		0		


55		A*		90376		22		22		1		0		1		0		
55		Dijkstra		76852		22		22		1		0		1		0		
55		JPS		9070		22		22		1		0		1		0		
55		EDG*		19		22		22		1		0		1		0		


56		A*		60152		22.3848		22.3859		1		0		1		0		
56		Dijkstra		72713		22.3848		22.3859		1		0		1		0		
56		JPS		2329		22.3848		22.3859		1		0		1		0		
56		EDG*		18		22.3848		21.4009		1		0		1		0		


57		A*		63045		23.8995		23.9001		1		0		1		0		
57		Dijkstra		74543		23.8995		23.9001		1		0		1		0		
57		JPS		12594		23.8995		23.9001		1		0		1		0		
57		EDG*		18		23.8995		22.1359		1		0		1		0		


58		A*		80924		21.3137		21.3144		1		0		1		0		
58		Dijkstra		76910		21.3137		21.3144		1		0		1		0		
