地图名称：Boston_1_1024.map
算例总数：3720


序号		方法		耗时(微秒)		基准长度		长度		找到解		无效解		最优解		预处理耗时(微秒)		
Seq.		Method		Time(us)		Ben.Len.		Len.		Solved		Invalid		Opt 		Pre.Map(us)		

1		A*		59175		1		1		1		0		1		0		
1		Dijkstra		61144		1		1		1		0		1		0		
1		JPS		2294		1		1		1		0		1		0		
1		EDG*		7		1		1		1		0		1		92445		


2		A*		59032		3.82843		3.8286		1		0		1		0		
2		Dijkstra		59386		3.82843		3.8286		1		0		1		0		
2		JPS		8742		3.82843		3.8286		1		0		1		0		
2		EDG*		10		3.82843		3.60555		1		0		1		0		


3		A*		61000		2.82843		2.8286		1		0		1		0		
3		Dijkstra		62227		2.82843		2.8286		1		0		1		0		
3		JPS		4082		2.82843		2.8286		1		0		1		0		
3		EDG*		8		2.82843		2.82843		1		0		1		0		


4		A*		62398		2.41421		2.4143		1		0		1		0		
4		Dijkstra		63528		2.41421		2.4143		1		0		1		0		
4		JPS		8995		2.41421		2.4143		1		0		1		0		
4		EDG*		11		2.41421		2.23607		1		0		1		0		


5		A*		63483		1		1		1		0		1		0		
5		Dijkstra		63515		1		1		1		0		1		0		
5		JPS		4525		1		1		1		0		1		0		
5		EDG*		7		1		1		1		0		1		0		


6		A*		61096		0		0		1		0		0		0		
6		Dijkstra		62012		0		0		1		0		0		0		
6		JPS		8		0		0		1		0		0		0		
6		EDG*		3		0		0		1		0		1		0		


7		A*		60927		2.41421		2.4143		1		0		1		0		
7		Dijkstra		62442		2.41421		2.4143		1		0		1		0		
7		JPS		283		2.41421		2.4143		1		0		1		0		
7		EDG*		8		2.41421		2.23607		1		0		1		0		


8		A*		61133		1		1		1		0		1		0		
8		Dijkstra		62851		1		1		1		0		1		0		
8		JPS		1220		1		1		1		0		1		0		
8		EDG*		7		1		1		1		0		1		0		


9		A*		60812		3.41421		3.4143		1		0		1		0		
9		Dijkstra		61093		3.41421		3.4143		1		0		1		0		
9		JPS		1875		3.41421		3.4143		1		0		1		0		
9		EDG*		10		3.41421		3.16228		1		0		1		0		


10		A*		61079		2.41421		2.4143		1		0		1		0		
10		Dijkstra		61248		2.41421		2.4143		1		0		1		0		
10		JPS		2398		2.41421		2.4143		1		0		1		0		
10		EDG*		8		2.41421		2.23607		1		0		1		0		


11		A*		62148		6.82843		6.8286		1		0		1		0		
11		Dijkstra		63215		6.82843		6.8286		1		0		1		0		
11		JPS		1970		6.82843		6.8286		1		0		1		0		
11		EDG*		12		6.82843		6.32456		1		0		1		0		


12		A*		61334		4.24264		4.2429		1		0		1		0		
12		Dijkstra		61595		4.24264		4.2429		1		0		1		0		
12		JPS		1035		4.24264		4.2429		1		0		1		0		
12		EDG*		10		4.24264		4.24264		1		0		1		0		


13		A*		61901		6.65685		6.6572		1		0		1		0		
13		Dijkstra		62736		6.65685		6.6572		1		0		1		0		
13		JPS		3762		6.65685		6.6572		1		0		1		0		
13		EDG*		12		6.65685		6.40312		1		0		1		0		


14		A*		61281		6.41421		6.4143		1		0		1		0		
14		Dijkstra		62421		6.41421		6.4143		1		0		1		0		
14		JPS		712		6.41421		6.4143		1		0		1		0		
14		EDG*		12		6.41421		6.08276		1		0		1		0		


15		A*		61108		6.65685		6.6572		1		0		1		0		
15		Dijkstra		61904		6.65685		6.6572		1		0		1		0		
15		JPS		683		6.65685		6.6572		1		0		1		0		
15		EDG*		12		6.65685		6.40312		1		0		1		0		


16		A*		61334		6.65685		6.6572		1		0		1		0		
16		Dijkstra		62978		6.65685		6.6572		1		0		1		0		
16		JPS		3147		6.65685		6.6572		1		0		1		0		
16		EDG*		12		6.65685		6.40312		1		0		1		0		


17		A*		61114		6		6		1		0		1		0		
17		Dijkstra		63654		6		6		1		0		1		0		
17		JPS		982		6		6		1		0		1		0		
17		EDG*		12		6		6		1		0		1		0		


18		A*		61578		7.41421		7.4143		1		0		1		0		
18		Dijkstra		62805		7.41421		7.4143		1		0		1		0		
18		JPS		7255		7.41421		7.4143		1		0		1		0		
18		EDG*		14		7.41421		7.07107		1		0		1		0		


19		A*		60859		4.82843		4.8286		1		0		1		0		
19		Dijkstra		61517		4.82843		4.8286		1		0		1		0		
19		JPS		4333		4.82843		4.8286		1		0		1		0		
19		EDG*		10		4.82843		4.47214		1		0		1		0		


20		A*		61625		4.41421		4.4143		1		0		1		0		
20		Dijkstra		61766		4.41421		4.4143		1		0		1		0		
20		JPS		2440		4.41421		4.4143		1		0		1		0		
20		EDG*		10		4.41421		4.12311		1		0		1		0		


21		A*		61106		10.6569		10.6572		1		0		1		0		
21		Dijkstra		64493		10.6569		10.6572		1		0		1		0		
21		JPS		8338		10.6569		10.6572		1		0		1		0		
21		EDG*		14		10.6569		9.84886		1		0		1		0		


22		A*		61119		10.8284		10.8286		1		0		1		0		
22		Dijkstra		73414		10.8284		10.8286		1		0		1		0		
22		JPS		5043		10.8284		10.8286		1		0		1		0		
22		EDG*		14		10.8284		10.198		1		0		1		0		


23		A*		61249		10.8284		10.8286		1		0		1		0		
23		Dijkstra		65116		10.8284		10.8286		1		0		1		0		
23		JPS		5222		10.8284		10.8286		1		0		1		0		
23		EDG*		15		10.8284		10.198		1		0		1		0		


24		A*		61242		9.07107		9.0715		1		0		1		0		
24		Dijkstra		63626		9.07107		9.0715		1		0		1		0		
24		JPS		4425		9.07107		9.0715		1		0		1		0		
24		EDG*		14		9.07107		8.60233		1		0		1		0		


25		A*		61221		9.82843		9.8286		1		0		1		0		
25		Dijkstra		64057		9.82843		9.8286		1		0		1		0		
25		JPS		1292		9.82843		9.8286		1		0		1		0		
25		EDG*		14		9.82843		9.21954		1		0		1		0		


26		A*		61809		11.4853		11.4858		1		0		1		0		
26		Dijkstra		65214		11.4853		11.4858		1		0		1		0		
26		JPS		1741		11.4853		11.4858		1		0		1		0		
26		EDG*		15		11.4853		10.8167		1		0		1		0		


27		A*		62583		10.4853		10.4858		1		0		1		0		
27		Dijkstra		64496		10.4853		10.4858		1		0		1		0		
27		JPS		4163		10.4853		10.4858		1		0		1		0		
27		EDG*		13		10.4853		10		1		0		1		0		


28		A*		62856		9.07107		9.0715		1		0		1		0		
28		Dijkstra		62682		9.07107		9.0715		1		0		1		0		
28		JPS		2664		9.07107		9.0715		1		0		1		0		
28		EDG*		13		9.07107		8.60233		1		0		1		0		


29		A*		61377		10.8284		10.8286		1		0		1		0		
29		Dijkstra		63121		10.8284		10.8286		1		0		1		0		
29		JPS		886		10.8284		10.8286		1		0		1		0		
29		EDG*		19		10.8284		10.198		1		0		1		0		


30		A*		61300		9		9		1		0		1		0		
30		Dijkstra		65010		9		9		1		0		1		0		
30		JPS		1934		9		9		1		0		1		0		
30		EDG*		13		9		9		1		0		1		0		


31		A*		62366		14.2426		14.2429		1		0		1		0		
31		Dijkstra		68968		14.2426		14.2429		1		0		1		0		
31		JPS		2023		14.2426		14.2429		1		0		1		0		
31		EDG*		16		14.2426		13.3417		1		0		1		0		


32		A*		61716		15.3137		15.3144		1		0		1		0		
32		Dijkstra		68923		15.3137		15.3144		1		0		1		0		
32		JPS		6412		15.3137		15.3144		1		0		1		0		
32		EDG*		15		15.3137		14.4222		1		0		1		0		


33		A*		63577		12.0711		12.0715		1		0		1		0		
33		Dijkstra		64432		12.0711		12.0715		1		0		1		0		
33		JPS		2881		12.0711		12.0715		1		0		1		0		
33		EDG*		15		12.0711		11.1803		1		0		1		0		


34		A*		61220		13.8284		13.8286		1		0		1		0		
34		Dijkstra		64601		13.8284		13.8286		1		0		1		0		
34		JPS		453		13.8284		13.8286		1		0		1		0		
34		EDG*		16		13.8284		13.1529		1		0		1		0		


35		A*		60968		15.3137		15.3144		1		0		1		0		
35		Dijkstra		69054		15.3137		15.3144		1		0		1		0		
35		JPS		7551		15.3137		15.3144		1		0		1		0		
35		EDG*		15		15.3137		14.4222		1		0		1		0		


36		A*		60894		13.7279		13.7287		1		0		1		0		
36		Dijkstra		66686		13.7279		13.7287		1		0		1		0		
36		JPS		6442		13.7279		13.7287		1		0		1		0		
36		EDG*		15		13.7279		13.4536		1		0		1		0		


37		A*		61603		12.6569		12.6572		1		0		1		0		
37		Dijkstra		65677		12.6569		12.6572		1		0		1		0		
37		JPS		3903		12.6569		12.6572		1		0		1		0		
37		EDG*		15		12.6569		11.7047		1		0		1		0		


38		A*		60450		14.3137		14.3144		1		0		1		0		
38		Dijkstra		67131		14.3137		14.3144		1		0		1		0		
38		JPS		7071		14.3137		14.3144		1		0		1		0		
38		EDG*		15		14.3137		13.6015		1		0		1		0		


39		A*		62100		14.2426		14.2429		1		0		1		0		
39		Dijkstra		68610		14.2426		14.2429		1		0		1		0		
39		JPS		2686		14.2426		14.2429		1		0		1		0		
39		EDG*		15		14.2426		13.3417		1		0		1		0		


40		A*		61308		14.0711		14.0715		1		0		1		0		
40		Dijkstra		67513		14.0711		14.0715		1		0		1		0		
40		JPS		3961		14.0711		14.0715		1		0		1		0		
40		EDG*		16		14.0711		13		1		0		1		0		


41		A*		61111		18.6569		18.6572		1		0		1		0		
41		Dijkstra		71414		18.6569		18.6572		1		0		1		0		
41		JPS		1346		18.6569		18.6572		1		0		1		0		
41		EDG*		18		18.6569		17.4642		1		0		1		0		


42		A*		60989		16.2426		16.2429		1		0		1		0		
42		Dijkstra		69142		16.2426		16.2429		1		0		1		0		
42		JPS		6844		16.2426		16.2429		1		0		1		0		
42		EDG*		17		16.2426		15.2971		1		0		1		0		


43		A*		60128		19.6569		19.6572		1		0		1		0		
43		Dijkstra		72154		19.6569		19.6572		1		0		1		0		
43		JPS		3545		19.6569		19.6572		1		0		1		0		
43		EDG*		27		19.6569		18.4391		1		0		1		0		


44		A*		62187		19.8995		19.9001		1		0		1		0		
44		Dijkstra		73066		19.8995		19.9001		1		0		1		0		
44		JPS		9026		19.8995		19.9001		1		0		1		0		
44		EDG*		16		19.8995		18.3848		1		0		1		0		


45		A*		61844		19.8284		19.8286		1		0		1		0		
45		Dijkstra		73183		19.8284		19.8286		1		0		1		0		
45		JPS		1689		19.8284		19.8286		1		0		1		0		
45		EDG*		17		19.8284		19.105		1		0		1		0		


46		A*		61018		17.4853		17.4858		1		0		1		0		
46		Dijkstra		71260		17.4853		17.4858		1		0		1		0		
46		JPS		5155		17.4853		17.4858		1		0		1		0		
46		EDG*		18		17.4853		16.1555		1		0		1		0		


47		A*		60919		19.1421		19.143		1		0		1		0		
47		Dijkstra		72577		19.1421		19.143		1		0		1		0		
47		JPS		1389		19.1421		19.143		1		0		1		0		
47		EDG*		17		19.1421		18.0278		1		0		1		0		


48		A*		61170		19.6569		19.6572		1		0		1		0		
48		Dijkstra		72890		19.6569		19.6572		1		0		1		0		
48		JPS		6072		19.6569		19.6572		1		0		1		0		
48		EDG*		18		19.6569		18.4391		1		0		1		0		


49		A*		60993		19.7279		19.7287		1		0		1		0		
49		Dijkstra		73785		19.7279		19.7287		1		0		1		0		
49		JPS		5290		19.7279		19.7287		1		0		1		0		
49		EDG*		18		19.7279		18.3576		1		0		1		0		


50		A*		63586		18.8995		18.9001		1		0		1		0		
50		Dijkstra		71686		18.8995		18.9001		1		0		1		0		
50		JPS		5253		18.8995		18.9001		1		0		1		0		
50		EDG*		17		18.8995		17.4642		1		0		1		0		


51		A*		76643		20.1421		20.143		1		0		1		0		
51		Dijkstra		73220		20.1421		20.143		1		0		1		0		
51		JPS		7610		20.1421		20.143		1		0		1		0		
51		EDG*		17		20.1421		18.868		1		0		1		0		


52		A*		62759		22.6569		22.6572		1		0		1		0		
52		Dijkstra		75399		22.6569		22.6572		1		0		1		0		
52		JPS		3148		22.6569		22.6572		1		0		1		0		
52		EDG*		17		22.6569		21.3776		1		0		1		0		


53		A*		61237		22.1421		22.143		1		0		1		0		
53		Dijkstra		71228		22.1421		22.143		1		0		1		0		
53		JPS		317		22.1421		22.143		1		0		1		0		
53		EDG*		18		22.1421		20.5913		1		0		1		0		


54		A*		61954		21.6569		21.6572		1		0		1		0		
54		Dijkstra		71518		21.6569		21.6572		1		0		1		0		
54		JPS		694		21.6569		21.6572		1		0		1		0		
54		EDG*		18		21.6569		20.3961		1		0		1		0		


55		A*		61315		22.4142		22.4143		1		0		1		0		
55		Dijkstra		76203		22.4142		22.4143		1		0		1		0		
55		JPS		3007		22.4142		22.4143		1		0		1		0		
55		EDG*		18		22.4142		22.0227		1		0		1		0		


56		A*		61251		23.4142		23.4143		1		0		1		0		
56		Dijkstra		68784		23.4142		23.4143		1		0		1		0		
56		JPS		2406		23.4142		23.4143		1		0		1		0		
56		EDG*		18		23.4142		23.0217		1		0		1		0		


57		A*		61069		20.799		20.8002		1		0		1		0		
57		Dijkstra		71896		20.799		20.8002		1		0		1		0		
57		JPS		2861		20.799		20.8002		1		0		1		0		
57		EDG*		17		20.799		20.5183		1		0		1		0		


58		A*		61026		21.6569		21.6572		1		0		1		0		
