地图名称：London_0_1024.map
算例总数：4010


序号		方法		耗时(微秒)		基准长度		长度		找到解		无效解		最优解		预处理耗时(微秒)		
Seq.		Method		Time(us)		Ben.Len.		Len.		Solved		Invalid		Opt 		Pre.Map(us)		

1		A*		58918		1.41421		1.4143		1		0		1		0		
1		Dijkstra		61759		1.41421		1.4143		1		0		1		0		
1		JPS		3253		1.41421		1.4143		1		0		1		0		
1		EDG*		7		1.41421		1.41421		1		0		1		117834		


2		A*		61257		3.82843		3.8286		1		0		1		0		
2		Dijkstra		63480		3.82843		3.8286		1		0		1		0		
2		JPS		17086		3.82843		3.8286		1		0		1		0		
2		EDG*		13		3.82843		3.60555		1		0		1		0		


3		A*		61998		2.41421		2.4143		1		0		1		0		
3		Dijkstra		63385		2.41421		2.4143		1		0		1		0		
3		JPS		3161		2.41421		2.4143		1		0		1		0		
3		EDG*		8		2.41421		2.23607		1		0		1		0		


4		A*		58739		3		3		1		0		1		0		
4		Dijkstra		59059		3		3		1		0		1		0		
4		JPS		16582		3		3		1		0		1		0		
4		EDG*		10		3		3		1		0		1		0		


5		A*		58763		2.41421		2.4143		1		0		1		0		
5		Dijkstra		60927		2.41421		2.4143		1		0		1		0		
5		JPS		164		2.41421		2.4143		1		0		1		0		
5		EDG*		9		2.41421		2.23607		1		0		1		0		


6		A*		60310		1.41421		1.4143		1		0		1		0		
6		Dijkstra		61564		1.41421		1.4143		1		0		1		0		
6		JPS		446		1.41421		1.4143		1		0		1		0		
6		EDG*		8		1.41421		1.41421		1		0		1		0		


7		A*		61234		1.41421		1.4143		1		0		1		0		
7		Dijkstra		62675		1.41421		1.4143		1		0		1		0		
7		JPS		532		1.41421		1.4143		1		0		1		0		
7		EDG*		7		1.41421		1.41421		1		0		1		0		


8		A*		61911		3.82843		3.8286		1		0		1		0		
8		Dijkstra		59901		3.82843		3.8286		1		0		1		0		
8		JPS		1016		3.82843		3.8286		1		0		1		0		
8		EDG*		10		3.82843		3.60555		1		0		1		0		


9		A*		58795		1.41421		1.4143		1		0		1		0		
9		Dijkstra		59001		1.41421		1.4143		1		0		1		0		
9		JPS		14030		1.41421		1.4143		1		0		1		0		
9		EDG*		7		1.41421		1.41421		1		0		1		0		


10		A*		58819		3.41421		3.4143		1		0		1		0		
10		Dijkstra		59086		3.41421		3.4143		1		0		1		0		
10		JPS		11610		3.41421		3.4143		1		0		1		0		
10		EDG*		10		3.41421		3.16228		1		0		1		0		


11		A*		58911		6		6		1		0		1		0		
11		Dijkstra		59835		6		6		1		0		1		0		
11		JPS		271		6		6		1		0		1		0		
11		EDG*		13		6		6		1		0		1		0		


12		A*		61285		6.82843		6.8286		1		0		1		0		
12		Dijkstra		60430		6.82843		6.8286		1		0		1		0		
12		JPS		16030		6.82843		6.8286		1		0		1		0		
12		EDG*		13		6.82843		6.32456		1		0		1		0		


13		A*		58837		7.82843		7.8286		1		0		1		0		
13		Dijkstra		61111		7.82843		7.8286		1		0		1		0		
13		JPS		11885		7.82843		7.8286		1		0		1		0		
13		EDG*		17		7.82843		7.28011		1		0		1		0		


14		A*		58911		4		4		1		0		1		0		
14		Dijkstra		60753		4		4		1		0		1		0		
14		JPS		1510		4		4		1		0		1		0		
14		EDG*		10		4		4		1		0		1		0		


15		A*		60783		7.41421		7.4143		1		0		1		0		
15		Dijkstra		61661		7.41421		7.4143		1		0		1		0		
15		JPS		379		7.41421		7.4143		1		0		1		0		
15		EDG*		14		7.41421		7.07107		1		0		1		0		


16		A*		58968		5.41421		5.4143		1		0		1		0		
16		Dijkstra		59731		5.41421		5.4143		1		0		1		0		
16		JPS		17064		5.41421		5.4143		1		0		1		0		
16		EDG*		12		5.41421		5.09902		1		0		1		0		


17		A*		59034		6		6		1		0		1		0		
17		Dijkstra		60278		6		6		1		0		1		0		
17		JPS		1963		6		6		1		0		1		0		
17		EDG*		16		6		6		1		0		1		0		


18		A*		58946		5.41421		5.4143		1		0		1		0		
18		Dijkstra		60058		5.41421		5.4143		1		0		1		0		
18		JPS		1262		5.41421		5.4143		1		0		1		0		
18		EDG*		11		5.41421		5.09902		1		0		1		0		


19		A*		59160		6.24264		6.2429		1		0		1		0		
19		Dijkstra		61014		6.24264		6.2429		1		0		1		0		
19		JPS		2333		6.24264		6.2429		1		0		1		0		
19		EDG*		12		6.24264		5.83095		1		0		1		0		


20		A*		59404		7.24264		7.2429		1		0		1		0		
20		Dijkstra		61488		7.24264		7.2429		1		0		1		0		
20		JPS		1951		7.24264		7.2429		1		0		1		0		
20		EDG*		16		7.24264		6.7082		1		0		1		0		


21		A*		58881		10.4853		10.4858		1		0		1		0		
21		Dijkstra		62291		10.4853		10.4858		1		0		1		0		
21		JPS		655		10.4853		10.4858		1		0		1		0		
21		EDG*		14		10.4853		10		1		0		1		0		


22		A*		59106		10.4142		10.4143		1		0		1		0		
22		Dijkstra		62321		10.4142		10.4143		1		0		1		0		
22		JPS		1623		10.4142		10.4143		1		0		1		0		
22		EDG*		16		10.4142		10.0499		1		0		1		0		


23		A*		82071		8.07107		8.0715		1		0		1		0		
23		Dijkstra		65724		8.07107		8.0715		1		0		1		0		
23		JPS		9064		8.07107		8.0715		1		0		1		0		
23		EDG*		13		8.07107		7.81025		1		0		1		0		


24		A*		58803		10.6569		10.6572		1		0		1		0		
24		Dijkstra		62335		10.6569		10.6572		1		0		1		0		
24		JPS		1530		10.6569		10.6572		1		0		1		0		
24		EDG*		14		10.6569		9.84886		1		0		1		0		


25		A*		60063		10		10		1		0		1		0		
25		Dijkstra		62205		10		10		1		0		1		0		
25		JPS		20789		10		10		1		0		1		0		
25		EDG*		16		10		10		1		0		1		0		


26		A*		59065		9.8995		9.9001		1		0		1		0		
26		Dijkstra		60496		9.8995		9.9001		1		0		1		0		
26		JPS		1192		9.8995		9.9001		1		0		1		0		
26		EDG*		13		9.8995		9.8995		1		0		1		0		


27		A*		60132		9.48528		9.4858		1		0		1		0		
27		Dijkstra		61771		9.48528		9.4858		1		0		1		0		
27		JPS		2748		9.48528		9.4858		1		0		1		0		
27		EDG*		14		9.48528		9.21954		1		0		1		0		


28		A*		58873		10.0711		10.0715		1		0		1		0		
28		Dijkstra		62172		10.0711		10.0715		1		0		1		0		
28		JPS		1391		10.0711		10.0715		1		0		1		0		
28		EDG*		16		10.0711		9.43398		1		0		1		0		


29		A*		58864		11.8284		11.8286		1		0		1		0		
29		Dijkstra		63380		11.8284		11.8286		1		0		1		0		
29		JPS		3703		11.8284		11.8286		1		0		1		0		
29		EDG*		16		11.8284		11.1803		1		0		1		0		


30		A*		58735		8.82843		8.8286		1		0		1		0		
30		Dijkstra		61487		8.82843		8.8286		1		0		1		0		
30		JPS		1866		8.82843		8.8286		1		0		1		0		
30		EDG*		14		8.82843		8.24621		1		0		1		0		


31		A*		61360		14.3137		14.3144		1		0		1		0		
31		Dijkstra		65396		14.3137		14.3144		1		0		1		0		
31		JPS		1209		14.3137		14.3144		1		0		1		0		
31		EDG*		16		14.3137		13.6015		1		0		1		0		


32		A*		58801		12.3137		12.3144		1		0		1		0		
32		Dijkstra		63648		12.3137		12.3144		1		0		1		0		
32		JPS		20730		12.3137		12.3144		1		0		1		0		
32		EDG*		15		12.3137		12.0416		1		0		1		0		


33		A*		59033		12.6569		12.6572		1		0		1		0		
33		Dijkstra		64049		12.6569		12.6572		1		0		1		0		
33		JPS		9729		12.6569		12.6572		1		0		1		0		
33		EDG*		15		12.6569		11.7047		1		0		1		0		


34		A*		60366		15.8284		15.8286		1		0		1		0		
34		Dijkstra		66100		15.8284		15.8286		1		0		1		0		
34		JPS		1415		15.8284		15.8286		1		0		1		0		
34		EDG*		18		15.8284		15.1327		1		0		1		0		


35		A*		59473		12.2426		12.2429		1		0		1		0		
35		Dijkstra		63327		12.2426		12.2429		1		0		1		0		
35		JPS		21461		12.2426		12.2429		1		0		1		0		
35		EDG*		18		12.2426		11.4018		1		0		1		0		


36		A*		59306		14.1421		14.143		1		0		1		0		
36		Dijkstra		65182		14.1421		14.143		1		0		1		0		
36		JPS		5155		14.1421		14.143		1		0		1		0		
36		EDG*		16		14.1421		14.1421		1		0		1		0		


37		A*		58815		14.0711		14.0715		1		0		1		0		
37		Dijkstra		64186		14.0711		14.0715		1		0		1		0		
37		JPS		3859		14.0711		14.0715		1		0		1		0		
37		EDG*		16		14.0711		13		1		0		1		0		


38		A*		58947		13.2426		13.2429		1		0		1		0		
38		Dijkstra		64270		13.2426		13.2429		1		0		1		0		
38		JPS		22245		13.2426		13.2429		1		0		1		0		
38		EDG*		17		13.2426		12.3693		1		0		1		0		


39		A*		59027		12.2426		12.2429		1		0		1		0		
39		Dijkstra		63565		12.2426		12.2429		1		0		1		0		
39		JPS		13156		12.2426		12.2429		1		0		1		0		
39		EDG*		20		12.2426		11.4018		1		0		1		0		


40		A*		59265		12.0711		12.0715		1		0		1		0		
40		Dijkstra		61448		12.0711		12.0715		1		0		1		0		
40		JPS		1562		12.0711		12.0715		1		0		1		0		
40		EDG*		16		12.0711		11.1803		1		0		1		0		


41		A*		59145		16.3137		16.3144		1		0		1		0		
41		Dijkstra		66576		16.3137		16.3144		1		0		1		0		
41		JPS		1024		16.3137		16.3144		1		0		1		0		
41		EDG*		16		16.3137		15.2643		1		0		1		0		


42		A*		58930		19.9706		19.9716		1		0		1		0		
42		Dijkstra		72844		19.9706		19.9716		1		0		1		0		
42		JPS		20793		19.9706		19.9716		1		0		1		0		
42		EDG*		18		19.9706		19.2094		1		0		1		0		


43		A*		60953		16.4142		16.4143		1		0		1		0		
43		Dijkstra		67840		16.4142		16.4143		1		0		1		0		
43		JPS		3300		16.4142		16.4143		1		0		1		0		
43		EDG*		23		16.4142		16.0312		1		0		1		0		


44		A*		72976		19.4142		19.4143		1		0		1		0		
44		Dijkstra		70480		19.4142		19.4143		1		0		1		0		
44		JPS		1674		19.4142		19.4143		1		0		1		0		
44		EDG*		20		19.4142		19.0263		1		0		1		0		


45		A*		58855		19.1421		19.143		1		0		1		0		
45		Dijkstra		70483		19.1421		19.143		1		0		1		0		
45		JPS		11690		19.1421		19.143		1		0		1		0		
45		EDG*		18		19.1421		18.0278		1		0		1		0		


46		A*		58859		19.7279		19.7287		1		0		1		0		
46		Dijkstra		71150		19.7279		19.7287		1		0		1		0		
46		JPS		1195		19.7279		19.7287		1		0		1		0		
46		EDG*		18		19.7279		18.3576		1		0		1		0		


47		A*		61257		19.9706		19.9716		1		0		1		0		
47		Dijkstra		71706		19.9706		19.9716		1		0		1		0		
47		JPS		1847		19.9706		19.9716		1		0		1		0		
47		EDG*		19		19.9706		19.2094		1		0		1		0		


48		A*		60896		16.4853		16.4858		1		0		1		0		
48		Dijkstra		67461		16.4853		16.4858		1		0		1		0		
48		JPS		11393		16.4853		16.4858		1		0		1		0		
48		EDG*		21		16.4853		15.2315		1		0		1		0		


49		A*		58877		16.7279		16.7287		1		0		1		0		
49		Dijkstra		67742		16.7279		16.7287		1		0		1		0		
49		JPS		22133		16.7279		16.7287		1		0		1		0		
49		EDG*		16		16.7279		15.8114		1		0		1		0		


50		A*		59327		19.3137		19.3144		1		0		1		0		
50		Dijkstra		66587		19.3137		19.3144		1		0		1		0		
50		JPS		2050		19.3137		19.3144		1		0		1		0		
50		EDG*		18		19.3137		17.8885		1		0		1		0		


51		A*		59064		22		22		1		0		1		0		
51		Dijkstra		73322		22		22		1		0		1		0		
51		JPS		3607		22		22		1		0		1		0		
51		EDG*		22		22		22		1		0		1		0		


52		A*		59244		23.6569		23.6572		1		0		1		0		
52		Dijkstra		77001		23.6569		23.6572		1		0		1		0		
52		JPS		29176		23.6569		23.6572		1		0		1		0		
52		EDG*		19		23.6569		22.3607		1		0		1		0		


53		A*		58852		23.4142		23.4143		1		0		1		0		
53		Dijkstra		75553		23.4142		23.4143		1		0		1		0		
53		JPS		9300		23.4142		23.4143		1		0		1		0		
53		EDG*		20		23.4142		23.0217		1		0		1		0		


54		A*		59237		23.2132		23.2145		1		0		1		0		
54		Dijkstra		74021		23.2132		23.2145		1		0		1		0		
54		JPS		4996		23.2132		23.2145		1		0		1		0		
54		EDG*		19		23.2132		22.6716		1		0		1		0		


55		A*		59137		22.2426		22.2429		1		0		1		0		
55		Dijkstra		73846		22.2426		22.2429		1		0		1		0		
55		JPS		1924		22.2426		22.2429		1		0		1		0		
55		EDG*		18		22.2426		21.2132		1		0		1		0		


56		A*		58842		23.4853		23.4858		1		0		1		0		
56		Dijkstra		75710		23.4853		23.4858		1		0		1		0		
56		JPS		16579		23.4853		23.4858		1		0		1		0		
56		EDG*		20		23.4853		21.8403		1		0		1		0		


57		A*		61574		23.4142		23.4143		1		0		1		0		
57		Dijkstra		76087		23.4142		23.4143		1		0		1		0		
57		JPS		28056		23.4142		23.4143		1		0		1		0		
57		EDG*		21		23.4142		23.0217		1		0		1		0		


