地图名称：Shanghai_0_1024.map
算例总数：3680


序号		方法		耗时(微秒)		基准长度		长度		找到解		无效解		最优解		预处理耗时(微秒)		
Seq.		Method		Time(us)		Ben.Len.		Len.		Solved		Invalid		Opt 		Pre.Map(us)		

1		A*		59996		1		1		1		0		1		0		
1		Dijkstra		59887		1		1		1		0		1		0		
1		JPS		1741		1		1		1		0		1		0		
1		EDG*		7		1		1		1		0		1		89638		


2		A*		62370		2.41421		2.4143		1		0		1		0		
2		Dijkstra		59807		2.41421		2.4143		1		0		1		0		
2		JPS		6940		2.41421		2.4143		1		0		1		0		
2		EDG*		8		2.41421		2.23607		1		0		1		0		


3		A*		61403		3.82843		3.8286		1		0		1		0		
3		Dijkstra		60966		3.82843		3.8286		1		0		1		0		
3		JPS		14252		3.82843		3.8286		1		0		1		0		
3		EDG*		10		3.82843		3.60555		1		0		1		0		


4		A*		63101		2		2		1		0		1		0		
4		Dijkstra		77049		2		2		1		0		1		0		
4		JPS		8565		2		2		1		0		1		0		
4		EDG*		8		2		2		1		0		1		0		


5		A*		62786		2.41421		2.4143		1		0		1		0		
5		Dijkstra		62978		2.41421		2.4143		1		0		1		0		
5		JPS		7511		2.41421		2.4143		1		0		1		0		
5		EDG*		9		2.41421		2.23607		1		0		1		0		


6		A*		65062		3.41421		3.4143		1		0		1		0		
6		Dijkstra		60894		3.41421		3.4143		1		0		1		0		
6		JPS		5236		3.41421		3.4143		1		0		1		0		
6		EDG*		10		3.41421		3.16228		1		0		1		0		


7		A*		59389		3.41421		3.4143		1		0		1		0		
7		Dijkstra		60268		3.41421		3.4143		1		0		1		0		
7		JPS		8852		3.41421		3.4143		1		0		1		0		
7		EDG*		10		3.41421		3.16228		1		0		1		0		


8		A*		59893		1.41421		1.4143		1		0		1		0		
8		Dijkstra		63371		1.41421		1.4143		1		0		1		0		
8		JPS		2797		1.41421		1.4143		1		0		1		0		
8		EDG*		7		1.41421		1.41421		1		0		1		0		


9		A*		63286		2.41421		2.4143		1		0		1		0		
9		Dijkstra		62937		2.41421		2.4143		1		0		1		0		
9		JPS		31443		2.41421		2.4143		1		0		1		0		
9		EDG*		9		2.41421		2.23607		1		0		1		0		


10		A*		62621		3.41421		3.4143		1		0		1		0		
10		Dijkstra		61385		3.41421		3.4143		1		0		1		0		
10		JPS		6832		3.41421		3.4143		1		0		1		0		
10		EDG*		10		3.41421		3.16228		1		0		1		0		


11		A*		60387		6.41421		6.4143		1		0		1		0		
11		Dijkstra		61126		6.41421		6.4143		1		0		1		0		
11		JPS		22634		6.41421		6.4143		1		0		1		0		
11		EDG*		12		6.41421		6.08276		1		0		1		0		


12		A*		59675		4.82843		4.8286		1		0		1		0		
12		Dijkstra		60463		4.82843		4.8286		1		0		1		0		
12		JPS		8171		4.82843		4.8286		1		0		1		0		
12		EDG*		10		4.82843		4.47214		1		0		1		0		


13		A*		62592		4.82843		4.8286		1		0		1		0		
13		Dijkstra		61855		4.82843		4.8286		1		0		1		0		
13		JPS		4982		4.82843		4.8286		1		0		1		0		
13		EDG*		11		4.82843		4.47214		1		0		1		0		


14		A*		60033		7.24264		7.2429		1		0		1		0		
14		Dijkstra		61491		7.24264		7.2429		1		0		1		0		
14		JPS		3924		7.24264		7.2429		1		0		1		0		
14		EDG*		12		7.24264		6.7082		1		0		1		0		


15		A*		62397		5.65685		5.6572		1		0		1		0		
15		Dijkstra		60841		5.65685		5.6572		1		0		1		0		
15		JPS		8035		5.65685		5.6572		1		0		1		0		
15		EDG*		11		5.65685		5.65685		1		0		1		0		


16		A*		60053		4.82843		4.8286		1		0		1		0		
16		Dijkstra		60672		4.82843		4.8286		1		0		1		0		
16		JPS		18018		4.82843		4.8286		1		0		1		0		
16		EDG*		11		4.82843		4.47214		1		0		1		0		


17		A*		62753		5.41421		5.4143		1		0		1		0		
17		Dijkstra		75487		5.41421		5.4143		1		0		1		0		
17		JPS		6645		5.41421		5.4143		1		0		1		0		
17		EDG*		12		5.41421		5.09902		1		0		1		0		


18		A*		60290		7.82843		7.8286		1		0		1		0		
18		Dijkstra		63426		7.82843		7.8286		1		0		1		0		
18		JPS		3873		7.82843		7.8286		1		0		1		0		
18		EDG*		12		7.82843		7.28011		1		0		1		0		


19		A*		61490		4.41421		4.4143		1		0		1		0		
19		Dijkstra		60469		4.41421		4.4143		1		0		1		0		
19		JPS		7480		4.41421		4.4143		1		0		1		0		
19		EDG*		11		4.41421		4.12311		1		0		1		0		


20		A*		62250		6		6		1		0		1		0		
20		Dijkstra		62111		6		6		1		0		1		0		
20		JPS		19672		6		6		1		0		1		0		
20		EDG*		12		6		6		1		0		1		0		


21		A*		61124		8.48528		8.4858		1		0		1		0		
21		Dijkstra		62514		8.48528		8.4858		1		0		1		0		
21		JPS		4258		8.48528		8.4858		1		0		1		0		
21		EDG*		12		8.48528		8.48528		1		0		1		0		


22		A*		59933		9		9		1		0		1		0		
22		Dijkstra		62270		9		9		1		0		1		0		
22		JPS		5846		9		9		1		0		1		0		
22		EDG*		13		9		9		1		0		1		0		


23		A*		60127		11.2426		11.2429		1		0		1		0		
23		Dijkstra		63956		11.2426		11.2429		1		0		1		0		
23		JPS		11896		11.2426		11.2429		1		0		1		0		
23		EDG*		14		11.2426		10.4403		1		0		1		0		


24		A*		61151		10.2426		10.2429		1		0		1		0		
24		Dijkstra		63241		10.2426		10.2429		1		0		1		0		
24		JPS		17000		10.2426		10.2429		1		0		1		0		
24		EDG*		26		10.2426		9.48683		1		0		1		0		


25		A*		62548		8		8		1		0		1		0		
25		Dijkstra		62794		8		8		1		0		1		0		
25		JPS		7063		8		8		1		0		1		0		
25		EDG*		13		8		8		1		0		1		0		


26		A*		60040		10.6569		10.6572		1		0		1		0		
26		Dijkstra		63504		10.6569		10.6572		1		0		1		0		
26		JPS		5283		10.6569		10.6572		1		0		1		0		
26		EDG*		14		10.6569		9.84886		1		0		1		0		


27		A*		62507		11.8995		11.9001		1		0		1		0		
27		Dijkstra		64405		11.8995		11.9001		1		0		1		0		
27		JPS		10717		11.8995		11.9001		1		0		1		0		
27		EDG*		13		11.8995		11.4018		1		0		1		0		


28		A*		60039		8.07107		8.0715		1		0		1		0		
28		Dijkstra		61779		8.07107		8.0715		1		0		1		0		
28		JPS		5659		8.07107		8.0715		1		0		1		0		
28		EDG*		12		8.07107		7.81025		1		0		1		0		


29		A*		60317		11		11		1		0		1		0		
29		Dijkstra		63323		11		11		1		0		1		0		
29		JPS		4917		11		11		1		0		1		0		
29		EDG*		14		11		11		1		0		1		0		


30		A*		63129		10		10		1		0		1		0		
30		Dijkstra		63255		10		10		1		0		1		0		
30		JPS		5368		10		10		1		0		1		0		
30		EDG*		14		10		10		1		0		1		0		


31		A*		60990		14.0711		14.0715		1		0		1		0		
31		Dijkstra		64451		14.0711		14.0715		1		0		1		0		
31		JPS		4374		14.0711		14.0715		1		0		1		0		
31		EDG*		15		14.0711		13		1		0		1		0		


32		A*		60284		14.2426		14.2429		1		0		1		0		
32		Dijkstra		66380		14.2426		14.2429		1		0		1		0		
32		JPS		3967		14.2426		14.2429		1		0		1		0		
32		EDG*		15		14.2426		13.3417		1		0		1		0		


33		A*		62436		13.8284		13.8286		1		0		1		0		
33		Dijkstra		65629		13.8284		13.8286		1		0		1		0		
33		JPS		14987		13.8284		13.8286		1		0		1		0		
33		EDG*		14		13.8284		13.1529		1		0		1		0		


34		A*		60157		13.6569		13.6572		1		0		1		0		
34		Dijkstra		65673		13.6569		13.6572		1		0		1		0		
34		JPS		5761		13.6569		13.6572		1		0		1		0		
34		EDG*		15		13.6569		12.6491		1		0		1		0		


35		A*		61812		14.8284		14.8286		1		0		1		0		
35		Dijkstra		67140		14.8284		14.8286		1		0		1		0		
35		JPS		5502		14.8284		14.8286		1		0		1		0		
35		EDG*		16		14.8284		14.1421		1		0		1		0		


36		A*		61774		12.8995		12.9001		1		0		1		0		
36		Dijkstra		65182		12.8995		12.9001		1		0		1		0		
36		JPS		2461		12.8995		12.9001		1		0		1		0		
36		EDG*		14		12.8995		12.2066		1		0		1		0		


37		A*		60076		14.8995		14.9001		1		0		1		0		
37		Dijkstra		66785		14.8995		14.9001		1		0		1		0		
37		JPS		11502		14.8995		14.9001		1		0		1		0		
37		EDG*		15		14.8995		13.8924		1		0		1		0		


38		A*		60066		14.0711		14.0715		1		0		1		0		
38		Dijkstra		65813		14.0711		14.0715		1		0		1		0		
38		JPS		6781		14.0711		14.0715		1		0		1		0		
38		EDG*		15		14.0711		13		1		0		1		0		


39		A*		62593		14.1421		14.143		1		0		1		0		
39		Dijkstra		66102		14.1421		14.143		1		0		1		0		
39		JPS		5149		14.1421		14.143		1		0		1		0		
39		EDG*		17		14.1421		14.1421		1		0		1		0		


40		A*		60813		14.7279		14.7287		1		0		1		0		
40		Dijkstra		66393		14.7279		14.7287		1		0		1		0		
40		JPS		14560		14.7279		14.7287		1		0		1		0		
40		EDG*		14		14.7279		14.2127		1		0		1		0		


41		A*		59537		18.4142		18.4143		1		0		1		0		
41		Dijkstra		70092		18.4142		18.4143		1		0		1		0		
41		JPS		6046		18.4142		18.4143		1		0		1		0		
41		EDG*		17		18.4142		18.0278		1		0		1		0		


42		A*		62546		18.6569		18.6572		1		0		1		0		
42		Dijkstra		70781		18.6569		18.6572		1		0		1		0		
42		JPS		25017		18.6569		18.6572		1		0		1		0		
42		EDG*		17		18.6569		17.4642		1		0		1		0		


43		A*		60075		16.2426		16.2429		1		0		1		0		
43		Dijkstra		68396		16.2426		16.2429		1		0		1		0		
43		JPS		30625		16.2426		16.2429		1		0		1		0		
43		EDG*		16		16.2426		15.2971		1		0		1		0		


44		A*		60053		19.799		19.8002		1		0		1		0		
44		Dijkstra		72813		19.799		19.8002		1		0		1		0		
44		JPS		12028		19.799		19.8002		1		0		1		0		
44		EDG*		16		19.799		19.799		1		0		1		0		


45		A*		62709		18.2426		18.2429		1		0		1		0		
45		Dijkstra		69669		18.2426		18.2429		1		0		1		0		
45		JPS		7563		18.2426		18.2429		1		0		1		0		
45		EDG*		16		18.2426		17.2627		1		0		1		0		


46		A*		60370		16.8284		16.8286		1		0		1		0		
46		Dijkstra		68735		16.8284		16.8286		1		0		1		0		
46		JPS		3942		16.8284		16.8286		1		0		1		0		
46		EDG*		17		16.8284		16.1245		1		0		1		0		


47		A*		62567		17.5563		17.5573		1		0		1		0		
47		Dijkstra		69454		17.5563		17.5573		1		0		1		0		
47		JPS		7838		17.5563		17.5573		1		0		1		0		
47		EDG*		15		17.5563		17.0294		1		0		1		0		


48		A*		60244		17.2426		17.2429		1		0		1		0		
48		Dijkstra		68951		17.2426		17.2429		1		0		1		0		
48		JPS		13598		17.2426		17.2429		1		0		1		0		
48		EDG*		17		17.2426		16.2788		1		0		1		0		


49		A*		60758		18.3137		18.3144		1		0		1		0		
49		Dijkstra		70181		18.3137		18.3144		1		0		1		0		
49		JPS		10169		18.3137		18.3144		1		0		1		0		
49		EDG*		16		18.3137		17		1		0		1		0		


50		A*		61684		19.7279		19.7287		1		0		1		0		
50		Dijkstra		71243		19.7279		19.7287		1		0		1		0		
50		JPS		37801		19.7279		19.7287		1		0		1		0		
50		EDG*		17		19.7279		18.3576		1		0		1		0		


51		A*		60210		23.2426		23.2429		1		0		1		0		
51		Dijkstra		76644		23.2426		23.2429		1		0		1		0		
51		JPS		24393		23.2426		23.2429		1		0		1		0		
51		EDG*		20		23.2426		22.2036		1		0		1		0		


52		A*		60190		20.5563		20.5573		1		0		1		0		
52		Dijkstra		72963		20.5563		20.5573		1		0		1		0		
52		JPS		13384		20.5563		20.5573		1		0		1		0		
52		EDG*		17		20.5563		19.4165		1		0		1		0		


53		A*		63437		23.3137		23.3144		1		0		1		0		
53		Dijkstra		72423		23.3137		23.3144		1		0		1		0		
53		JPS		3476		23.3137		23.3144		1		0		1		0		
53		EDG*		18		23.3137		21.5407		1		0		1		0		


54		A*		60005		20.3848		20.3859		1		0		1		0		
54		Dijkstra		72827		20.3848		20.3859		1		0		1		0		
54		JPS		25403		20.3848		20.3859		1		0		1		0		
54		EDG*		16		20.3848		19.8494		1		0		1		0		


55		A*		60063		20.1421		20.143		1		0		1		0		
55		Dijkstra		72212		20.1421		20.143		1		0		1		0		
55		JPS		24193		20.1421		20.143		1		0		1		0		
55		EDG*		16		20.1421		18.868		1		0		1		0		


56		A*		60261		22.2426		22.2429		1		0		1		0		
56		Dijkstra		72043		22.2426		22.2429		1		0		1		0		
56		JPS		14903		22.2426		22.2429		1		0		1		0		
56		EDG*		17		22.2426		21.2132		1		0		1		0		


57		A*		62459		23.2132		23.2145		1		0		1		0		
57		Dijkstra		76246		23.2132		23.2145		1		0		1		0		
57		JPS		11606		23.2132		23.2145		1		0		1		0		
57		EDG*		18		23.2132		22.6716		1		0		1		0		


58		A*		86315		21.1421		21.143		1		0		1		0		
