地图名称：Milan_2_1024.map
算例总数：3840


序号		方法		耗时(微秒)		基准长度		长度		找到解		无效解		最优解		预处理耗时(微秒)		
Seq.		Method		Time(us)		Ben.Len.		Len.		Solved		Invalid		Opt 		Pre.Map(us)		

1		A*		59893		3.82843		3.8286		1		0		1		0		
1		Dijkstra		60502		3.82843		3.8286		1		0		1		0		
1		JPS		1657		3.82843		3.8286		1		0		1		0		
1		EDG*		10		3.82843		3.60555		1		0		1		117059		


2		A*		59988		3.41421		3.4143		1		0		1		0		
2		Dijkstra		60202		3.41421		3.4143		1		0		1		0		
2		JPS		5409		3.41421		3.4143		1		0		1		0		
2		EDG*		10		3.41421		3.16228		1		0		1		0		


3		A*		57825		3.82843		3.8286		1		0		1		0		
3		Dijkstra		60168		3.82843		3.8286		1		0		1		0		
3		JPS		4156		3.82843		3.8286		1		0		1		0		
3		EDG*		10		3.82843		3.60555		1		0		1		0		


4		A*		62936		2.82843		2.8286		1		0		1		0		
4		Dijkstra		62633		2.82843		2.8286		1		0		1		0		
4		JPS		563		2.82843		2.8286		1		0		1		0		
4		EDG*		8		2.82843		2.82843		1		0		1		0		


5		A*		62402		2		2		1		0		1		0		
5		Dijkstra		62506		2		2		1		0		1		0		
5		JPS		1570		2		2		1		0		1		0		
5		EDG*		9		2		2		1		0		1		0		


6		A*		69492		1		1		1		0		1		0		
6		Dijkstra		60261		1		1		1		0		1		0		
6		JPS		4476		1		1		1		0		1		0		
6		EDG*		7		1		1		1		0		1		0		


7		A*		61296		1		1		1		0		1		0		
7		Dijkstra		60782		1		1		1		0		1		0		
7		JPS		3152		1		1		1		0		1		0		
7		EDG*		7		1		1		1		0		1		0		


8		A*		59861		2.41421		2.4143		1		0		1		0		
8		Dijkstra		61099		2.41421		2.4143		1		0		1		0		
8		JPS		3942		2.41421		2.4143		1		0		1		0		
8		EDG*		8		2.41421		2.23607		1		0		1		0		


9		A*		60092		3.82843		3.8286		1		0		1		0		
9		Dijkstra		60253		3.82843		3.8286		1		0		1		0		
9		JPS		4001		3.82843		3.8286		1		0		1		0		
9		EDG*		10		3.82843		3.60555		1		0		1		0		


10		A*		59693		2		2		1		0		1		0		
10		Dijkstra		59693		2		2		1		0		1		0		
10		JPS		2740		2		2		1		0		1		0		
10		EDG*		8		2		2		1		0		1		0		


11		A*		60460		4.41421		4.4143		1		0		1		0		
11		Dijkstra		62625		4.41421		4.4143		1		0		1		0		
11		JPS		4139		4.41421		4.4143		1		0		1		0		
11		EDG*		11		4.41421		4.12311		1		0		1		0		


12		A*		59768		5.82843		5.8286		1		0		1		0		
12		Dijkstra		61034		5.82843		5.8286		1		0		1		0		
12		JPS		2449		5.82843		5.8286		1		0		1		0		
12		EDG*		12		5.82843		5.38516		1		0		1		0		


13		A*		59342		5.41421		5.4143		1		0		1		0		
13		Dijkstra		60736		5.41421		5.4143		1		0		1		0		
13		JPS		10091		5.41421		5.4143		1		0		1		0		
13		EDG*		11		5.41421		5.09902		1		0		1		0		


14		A*		60025		7.65685		7.6572		1		0		1		0		
14		Dijkstra		61586		7.65685		7.6572		1		0		1		0		
14		JPS		807		7.65685		7.6572		1		0		1		0		
14		EDG*		11		7.65685		7.2111		1		0		1		0		


15		A*		62128		5.41421		5.4143		1		0		1		0		
15		Dijkstra		60602		5.41421		5.4143		1		0		1		0		
15		JPS		2226		5.41421		5.4143		1		0		1		0		
15		EDG*		10		5.41421		5.09902		1		0		1		0		


16		A*		60047		5		5		1		0		1		0		
16		Dijkstra		60900		5		5		1		0		1		0		
16		JPS		1136		5		5		1		0		1		0		
16		EDG*		12		5		5		1		0		1		0		


17		A*		62130		6.82843		6.8286		1		0		1		0		
17		Dijkstra		61786		6.82843		6.8286		1		0		1		0		
17		JPS		4671		6.82843		6.8286		1		0		1		0		
17		EDG*		12		6.82843		6.32456		1		0		1		0		


18		A*		59350		6.82843		6.8286		1		0		1		0		
18		Dijkstra		61336		6.82843		6.8286		1		0		1		0		
18		JPS		960		6.82843		6.8286		1		0		1		0		
18		EDG*		12		6.82843		6.32456		1		0		1		0		


19		A*		59921		6.65685		6.6572		1		0		1		0		
19		Dijkstra		61347		6.65685		6.6572		1		0		1		0		
19		JPS		14319		6.65685		6.6572		1		0		1		0		
19		EDG*		11		6.65685		6.40312		1		0		1		0		


20		A*		59752		4.24264		4.2429		1		0		1		0		
20		Dijkstra		60361		4.24264		4.2429		1		0		1		0		
20		JPS		4916		4.24264		4.2429		1		0		1		0		
20		EDG*		10		4.24264		4.24264		1		0		1		0		


21		A*		60096		11.2426		11.2429		1		0		1		0		
21		Dijkstra		62669		11.2426		11.2429		1		0		1		0		
21		JPS		798		11.2426		11.2429		1		0		1		0		
21		EDG*		14		11.2426		10.4403		1		0		1		0		


22		A*		62536		8.82843		8.8286		1		0		1		0		
22		Dijkstra		63252		8.82843		8.8286		1		0		1		0		
22		JPS		4322		8.82843		8.8286		1		0		1		0		
22		EDG*		13		8.82843		8.24621		1		0		1		0		


23		A*		74915		11.0711		11.0715		1		0		1		0		
23		Dijkstra		63575		11.0711		11.0715		1		0		1		0		
23		JPS		3479		11.0711		11.0715		1		0		1		0		
23		EDG*		14		11.0711		10.2956		1		0		1		0		


24		A*		62110		9.41421		9.4143		1		0		1		0		
24		Dijkstra		62330		9.41421		9.4143		1		0		1		0		
24		JPS		6618		9.41421		9.4143		1		0		1		0		
24		EDG*		13		9.41421		9.05539		1		0		1		0		


25		A*		59823		10		10		1		0		1		0		
25		Dijkstra		62719		10		10		1		0		1		0		
25		JPS		5857		10		10		1		0		1		0		
25		EDG*		15		10		10		1		0		1		0		


26		A*		59999		10.4853		10.4858		1		0		1		0		
26		Dijkstra		64741		10.4853		10.4858		1		0		1		0		
26		JPS		5633		10.4853		10.4858		1		0		1		0		
26		EDG*		15		10.4853		10		1		0		1		0		


27		A*		60758		10.8284		10.8286		1		0		1		0		
27		Dijkstra		63708		10.8284		10.8286		1		0		1		0		
27		JPS		2154		10.8284		10.8286		1		0		1		0		
27		EDG*		15		10.8284		10.198		1		0		1		0		


28		A*		59789		8		8		1		0		1		0		
28		Dijkstra		62005		8		8		1		0		1		0		
28		JPS		4625		8		8		1		0		1		0		
28		EDG*		14		8		8		1		0		1		0		


29		A*		59781		10.8995		10.9001		1		0		1		0		
29		Dijkstra		63297		10.8995		10.9001		1		0		1		0		
29		JPS		1716		10.8995		10.9001		1		0		1		0		
29		EDG*		13		10.8995		10.6301		1		0		1		0		


30		A*		59798		8.41421		8.4143		1		0		1		0		
30		Dijkstra		61760		8.41421		8.4143		1		0		1		0		
30		JPS		3563		8.41421		8.4143		1		0		1		0		
30		EDG*		13		8.41421		8.06226		1		0		1		0		


31		A*		59777		13.7279		13.7287		1		0		1		0		
31		Dijkstra		65647		13.7279		13.7287		1		0		1		0		
31		JPS		12065		13.7279		13.7287		1		0		1		0		
31		EDG*		15		13.7279		13.4536		1		0		1		0		


32		A*		61117		15		15		1		0		1		0		
32		Dijkstra		66468		15		15		1		0		1		0		
32		JPS		1208		15		15		1		0		1		0		
32		EDG*		16		15		15		1		0		1		0		


33		A*		62086		14.8995		14.9001		1		0		1		0		
33		Dijkstra		64337		14.8995		14.9001		1		0		1		0		
33		JPS		1020		14.8995		14.9001		1		0		1		0		
33		EDG*		15		14.8995		13.8924		1		0		1		0		


34		A*		59982		14		14		1		0		1		0		
34		Dijkstra		65769		14		14		1		0		1		0		
34		JPS		4855		14		14		1		0		1		0		
34		EDG*		15		14		14		1		0		1		0		


35		A*		59773		15.7279		15.7287		1		0		1		0		
35		Dijkstra		67218		15.7279		15.7287		1		0		1		0		
35		JPS		4512		15.7279		15.7287		1		0		1		0		
35		EDG*		15		15.7279		15		1		0		1		0		


36		A*		60534		14.2426		14.2429		1		0		1		0		
36		Dijkstra		70950		14.2426		14.2429		1		0		1		0		
36		JPS		1400		14.2426		14.2429		1		0		1		0		
36		EDG*		16		14.2426		13.3417		1		0		1		0		


37		A*		60134		14.3137		14.3144		1		0		1		0		
37		Dijkstra		63654		14.3137		14.3144		1		0		1		0		
37		JPS		1770		14.3137		14.3144		1		0		1		0		
37		EDG*		15		14.3137		13.6015		1		0		1		0		


38		A*		59448		15.0711		15.0715		1		0		1		0		
38		Dijkstra		64219		15.0711		15.0715		1		0		1		0		
38		JPS		2186		15.0711		15.0715		1		0		1		0		
38		EDG*		15		15.0711		13.9284		1		0		1		0		


39		A*		62437		15.7279		15.7287		1		0		1		0		
39		Dijkstra		67077		15.7279		15.7287		1		0		1		0		
39		JPS		2191		15.7279		15.7287		1		0		1		0		
39		EDG*		15		15.7279		15		1		0		1		0		


40		A*		59755		14.6569		14.6572		1		0		1		0		
40		Dijkstra		66184		14.6569		14.6572		1		0		1		0		
40		JPS		2998		14.6569		14.6572		1		0		1		0		
40		EDG*		17		14.6569		13.6015		1		0		1		0		


41		A*		60449		19.3137		19.3144		1		0		1		0		
41		Dijkstra		63252		19.3137		19.3144		1		0		1		0		
41		JPS		290		19.3137		19.3144		1		0		1		0		
41		EDG*		17		19.3137		17.8885		1		0		1		0		


42		A*		60356		18.7279		18.7287		1		0		1		0		
42		Dijkstra		68663		18.7279		18.7287		1		0		1		0		
42		JPS		8666		18.7279		18.7287		1		0		1		0		
42		EDG*		16		18.7279		17.4929		1		0		1		0		


43		A*		60170		19.8995		19.9001		1		0		1		0		
43		Dijkstra		71847		19.8995		19.9001		1		0		1		0		
43		JPS		817		19.8995		19.9001		1		0		1		0		
43		EDG*		17		19.8995		18.3848		1		0		1		0		


44		A*		59847		19.3137		19.3144		1		0		1		0		
44		Dijkstra		63319		19.3137		19.3144		1		0		1		0		
44		JPS		1717		19.3137		19.3144		1		0		1		0		
44		EDG*		17		19.3137		17.8885		1		0		1		0		


45		A*		59874		19.4853		19.4858		1		0		1		0		
45		Dijkstra		72382		19.4853		19.4858		1		0		1		0		
45		JPS		1650		19.4853		19.4858		1		0		1		0		
45		EDG*		16		19.4853		18.0278		1		0		1		0		


46		A*		60485		16.4853		16.4858		1		0		1		0		
46		Dijkstra		68013		16.4853		16.4858		1		0		1		0		
46		JPS		1447		16.4853		16.4858		1		0		1		0		
46		EDG*		16		16.4853		15.2315		1		0		1		0		


47		A*		60178		18.3848		18.3859		1		0		1		0		
47		Dijkstra		68298		18.3848		18.3859		1		0		1		0		
47		JPS		7803		18.3848		18.3859		1		0		1		0		
47		EDG*		16		18.3848		18.3848		1		0		1		0		


48		A*		60115		18.4853		18.4858		1		0		1		0		
48		Dijkstra		70305		18.4853		18.4858		1		0		1		0		
48		JPS		1848		18.4853		18.4858		1		0		1		0		
48		EDG*		17		18.4853		17.088		1		0		1		0		


49		A*		59998		17.2426		17.2429		1		0		1		0		
49		Dijkstra		68886		17.2426		17.2429		1		0		1		0		
49		JPS		13405		17.2426		17.2429		1		0		1		0		
49		EDG*		17		17.2426		16.2788		1		0		1		0		


50		A*		62161		18.5563		18.5573		1		0		1		0		
50		Dijkstra		70606		18.5563		18.5573		1		0		1		0		
50		JPS		11512		18.5563		18.5573		1		0		1		0		
50		EDG*		16		18.5563		17.8045		1		0		1		0		


51		A*		59891		21.7279		21.7287		1		0		1		0		
51		Dijkstra		69042		21.7279		21.7287		1		0		1		0		
51		JPS		1327		21.7279		21.7287		1		0		1		0		
51		EDG*		17		21.7279		20.1246		1		0		1		0		


52		A*		58097		23.3137		23.3144		1		0		1		0		
52		Dijkstra		78343		23.3137		23.3144		1		0		1		0		
52		JPS		5584		23.3137		23.3144		1		0		1		0		
52		EDG*		18		23.3137		21.5407		1		0		1		0		


53		A*		60232		20.3848		20.3859		1		0		1		0		
53		Dijkstra		72531		20.3848		20.3859		1		0		1		0		
53		JPS		7988		20.3848		20.3859		1		0		1		0		
53		EDG*		17		20.3848		19.8494		1		0		1		0		


54		A*		59985		23.8284		23.8286		1		0		1		0		
54		Dijkstra		77375		23.8284		23.8286		1		0		1		0		
54		JPS		6948		23.8284		23.8286		1		0		1		0		
54		EDG*		18		23.8284		23.0868		1		0		1		0		


55		A*		62266		23.799		23.8002		1		0		1		0		
55		Dijkstra		77056		23.799		23.8002		1		0		1		0		
55		JPS		7659		23.799		23.8002		1		0		1		0		
55		EDG*		18		23.799		22.8035		1		0		1		0		


56		A*		59847		20.7279		20.7287		1		0		1		0		
56		Dijkstra		71647		20.7279		20.7287		1		0		1		0		
56		JPS		1173		20.7279		20.7287		1		0		1		0		
56		EDG*		17		20.7279		19.2354		1		0		1		0		


57		A*		59480		20.1421		20.143		1		0		1		0		
57		Dijkstra		72330		20.1421		20.143		1		0		1		0		
57		JPS		9193		20.1421		20.143		1		0		1		0		
57		EDG*		17		20.1421		18.868		1		0		1		0		


58		A*		62489		23.3848		22.8002		1		0		1		0		
58		Dijkstra		71473		23.3848		22.8002		1		0		1		0		
58		JPS		1003		23.3848		22.8002		1		0		1		0		
