地图名称：NewYork_0_1024.map
算例总数：3670


序号		方法		耗时(微秒)		基准长度		长度		找到解		无效解		最优解		预处理耗时(微秒)		
Seq.		Method		Time(us)		Ben.Len.		Len.		Solved		Invalid		Opt 		Pre.Map(us)		

1		A*		57935		2		2		1		0		1		0		
1		Dijkstra		59418		2		2		1		0		1		0		
1		JPS		3564		2		2		1		0		1		0		
1		EDG*		8		2		2		1		0		1		90577		


2		A*		59690		2.82843		2.8286		1		0		1		0		
2		Dijkstra		61600		2.82843		2.8286		1		0		1		0		
2		JPS		1205		2.82843		2.8286		1		0		1		0		
2		EDG*		8		2.82843		2.82843		1		0		1		0		


3		A*		60032		1.41421		1.4143		1		0		1		0		
3		Dijkstra		59983		1.41421		1.4143		1		0		1		0		
3		JPS		5160		1.41421		1.4143		1		0		1		0		
3		EDG*		7		1.41421		1.41421		1		0		1		0		


4		A*		62592		2.41421		2.4143		1		0		1		0		
4		Dijkstra		62716		2.41421		2.4143		1		0		1		0		
4		JPS		212		2.41421		2.4143		1		0		1		0		
4		EDG*		8		2.41421		2.23607		1		0		1		0		


5		A*		62909		2.82843		2.8286		1		0		1		0		
5		Dijkstra		67827		2.82843		2.8286		1		0		1		0		
5		JPS		4008		2.82843		2.8286		1		0		1		0		
5		EDG*		9		2.82843		2.82843		1		0		1		0		


6		A*		68006		2		2		1		0		1		0		
6		Dijkstra		59955		2		2		1		0		1		0		
6		JPS		3938		2		2		1		0		1		0		
6		EDG*		8		2		2		1		0		1		0		


7		A*		59773		1.41421		1.4143		1		0		1		0		
7		Dijkstra		60726		1.41421		1.4143		1		0		1		0		
7		JPS		3229		1.41421		1.4143		1		0		1		0		
7		EDG*		7		1.41421		1.41421		1		0		1		0		


8		A*		60132		2.41421		2.4143		1		0		1		0		
8		Dijkstra		62014		2.41421		2.4143		1		0		1		0		
8		JPS		14614		2.41421		2.4143		1		0		1		0		
8		EDG*		8		2.41421		2.23607		1		0		1		0		


9		A*		77606		3.41421		3.4143		1		0		1		0		
9		Dijkstra		63079		3.41421		3.4143		1		0		1		0		
9		JPS		2017		3.41421		3.4143		1		0		1		0		
9		EDG*		10		3.41421		3.16228		1		0		1		0		


10		A*		63421		2.41421		2.4143		1		0		1		0		
10		Dijkstra		61385		2.41421		2.4143		1		0		1		0		
10		JPS		1971		2.41421		2.4143		1		0		1		0		
10		EDG*		8		2.41421		2.23607		1		0		1		0		


11		A*		60542		6.82843		6.8286		1		0		1		0		
11		Dijkstra		61504		6.82843		6.8286		1		0		1		0		
11		JPS		5137		6.82843		6.8286		1		0		1		0		
11		EDG*		11		6.82843		6.32456		1		0		1		0		


12		A*		61007		7.65685		7.6572		1		0		1		0		
12		Dijkstra		61879		7.65685		7.6572		1		0		1		0		
12		JPS		4204		7.65685		7.6572		1		0		1		0		
12		EDG*		12		7.65685		7.2111		1		0		1		0		


13		A*		62454		4.24264		4.2429		1		0		1		0		
13		Dijkstra		72165		4.24264		4.2429		1		0		1		0		
13		JPS		5247		4.24264		4.2429		1		0		1		0		
13		EDG*		10		4.24264		4.24264		1		0		1		0		


14		A*		62460		7.24264		7.2429		1		0		1		0		
14		Dijkstra		64171		7.24264		7.2429		1		0		1		0		
14		JPS		4767		7.24264		7.2429		1		0		1		0		
14		EDG*		12		7.24264		6.7082		1		0		1		0		


15		A*		59581		4.41421		4.4143		1		0		1		0		
15		Dijkstra		60454		4.41421		4.4143		1		0		1		0		
15		JPS		1906		4.41421		4.4143		1		0		1		0		
15		EDG*		10		4.41421		4.12311		1		0		1		0		


16		A*		60593		5.41421		5.4143		1		0		1		0		
16		Dijkstra		60789		5.41421		5.4143		1		0		1		0		
16		JPS		4501		5.41421		5.4143		1		0		1		0		
16		EDG*		12		5.41421		5.09902		1		0		1		0		


17		A*		62555		7.65685		7.6572		1		0		1		0		
17		Dijkstra		62874		7.65685		7.6572		1		0		1		0		
17		JPS		2989		7.65685		7.6572		1		0		1		0		
17		EDG*		11		7.65685		7.2111		1		0		1		0		


18		A*		60027		5.24264		5.2429		1		0		1		0		
18		Dijkstra		60532		5.24264		5.2429		1		0		1		0		
18		JPS		1363		5.24264		5.2429		1		0		1		0		
18		EDG*		10		5.24264		5		1		0		1		0		


19		A*		60053		4.24264		4.2429		1		0		1		0		
19		Dijkstra		61765		4.24264		4.2429		1		0		1		0		
19		JPS		3402		4.24264		4.2429		1		0		1		0		
19		EDG*		10		4.24264		4.24264		1		0		1		0		


20		A*		60018		5.24264		5.2429		1		0		1		0		
20		Dijkstra		60648		5.24264		5.2429		1		0		1		0		
20		JPS		5342		5.24264		5.2429		1		0		1		0		
20		EDG*		10		5.24264		5		1		0		1		0		


21		A*		59802		11.6569		11.6572		1		0		1		0		
21		Dijkstra		64999		11.6569		11.6572		1		0		1		0		
21		JPS		5821		11.6569		11.6572		1		0		1		0		
21		EDG*		14		11.6569		10.7703		1		0		1		0		


22		A*		60547		11.3137		11.3144		1		0		1		0		
22		Dijkstra		63890		11.3137		11.3144		1		0		1		0		
22		JPS		3280		11.3137		11.3144		1		0		1		0		
22		EDG*		13		11.3137		11.3137		1		0		1		0		


23		A*		60161		10.4853		10.4858		1		0		1		0		
23		Dijkstra		63842		10.4853		10.4858		1		0		1		0		
23		JPS		1907		10.4853		10.4858		1		0		1		0		
23		EDG*		13		10.4853		10		1		0		1		0		


24		A*		59687		8.65685		8.6572		1		0		1		0		
24		Dijkstra		62804		8.65685		8.6572		1		0		1		0		
24		JPS		3312		8.65685		8.6572		1		0		1		0		
24		EDG*		14		8.65685		8.06226		1		0		1		0		


25		A*		61832		9.65685		9.6572		1		0		1		0		
25		Dijkstra		62653		9.65685		9.6572		1		0		1		0		
25		JPS		1035		9.65685		9.6572		1		0		1		0		
25		EDG*		13		9.65685		8.94427		1		0		1		0		


26		A*		59972		10.6569		10.6572		1		0		1		0		
26		Dijkstra		65640		10.6569		10.6572		1		0		1		0		
26		JPS		1461		10.6569		10.6572		1		0		1		0		
26		EDG*		13		10.6569		9.84886		1		0		1		0		


27		A*		61556		8.82843		8.8286		1		0		1		0		
27		Dijkstra		62263		8.82843		8.8286		1		0		1		0		
27		JPS		1157		8.82843		8.8286		1		0		1		0		
27		EDG*		14		8.82843		8.24621		1		0		1		0		


28		A*		60258		11		11		1		0		1		0		
28		Dijkstra		63488		11		11		1		0		1		0		
28		JPS		3446		11		11		1		0		1		0		
28		EDG*		14		11		11		1		0		1		0		


29		A*		61644		8.41421		8.4143		1		0		1		0		
29		Dijkstra		62796		8.41421		8.4143		1		0		1		0		
29		JPS		5115		8.41421		8.4143		1		0		1		0		
29		EDG*		13		8.41421		8.06226		1		0		1		0		


30		A*		60056		8.41421		8.4143		1		0		1		0		
30		Dijkstra		62025		8.41421		8.4143		1		0		1		0		
30		JPS		3983		8.41421		8.4143		1		0		1		0		
30		EDG*		13		8.41421		8.06226		1		0		1		0		


31		A*		61556		14.8995		14.9001		1		0		1		0		
31		Dijkstra		66518		14.8995		14.9001		1		0		1		0		
31		JPS		8930		14.8995		14.9001		1		0		1		0		
31		EDG*		15		14.8995		13.8924		1		0		1		0		


32		A*		60188		14.7279		14.7287		1		0		1		0		
32		Dijkstra		66617		14.7279		14.7287		1		0		1		0		
32		JPS		5002		14.7279		14.7287		1		0		1		0		
32		EDG*		15		14.7279		14.2127		1		0		1		0		


33		A*		60050		14.4853		14.4858		1		0		1		0		
33		Dijkstra		66160		14.4853		14.4858		1		0		1		0		
33		JPS		7667		14.4853		14.4858		1		0		1		0		
33		EDG*		15		14.4853		13.4164		1		0		1		0		


34		A*		60146		15.4142		15.4143		1		0		1		0		
34		Dijkstra		63980		15.4142		15.4143		1		0		1		0		
34		JPS		767		15.4142		15.4143		1		0		1		0		
34		EDG*		17		15.4142		15.0333		1		0		1		0		


35		A*		59288		15.4142		15.4143		1		0		1		0		
35		Dijkstra		67600		15.4142		15.4143		1		0		1		0		
35		JPS		5656		15.4142		15.4143		1		0		1		0		
35		EDG*		16		15.4142		15.0333		1		0		1		0		


36		A*		59968		14.6569		14.6572		1		0		1		0		
36		Dijkstra		66373		14.6569		14.6572		1		0		1		0		
36		JPS		8595		14.6569		14.6572		1		0		1		0		
36		EDG*		15		14.6569		13.6015		1		0		1		0		


37		A*		60038		15.4853		15.4858		1		0		1		0		
37		Dijkstra		67674		15.4853		15.4858		1		0		1		0		
37		JPS		2820		15.4853		15.4858		1		0		1		0		
37		EDG*		15		15.4853		14.3178		1		0		1		0		


38		A*		62621		12.0711		12.0715		1		0		1		0		
38		Dijkstra		64007		12.0711		12.0715		1		0		1		0		
38		JPS		2128		12.0711		12.0715		1		0		1		0		
38		EDG*		15		12.0711		11.1803		1		0		1		0		


39		A*		61102		13.8284		13.8286		1		0		1		0		
39		Dijkstra		65868		13.8284		13.8286		1		0		1		0		
39		JPS		5684		13.8284		13.8286		1		0		1		0		
39		EDG*		15		13.8284		13.1529		1		0		1		0		


40		A*		60434		14.8995		14.9001		1		0		1		0		
40		Dijkstra		69802		14.8995		14.9001		1		0		1		0		
40		JPS		12302		14.8995		14.9001		1		0		1		0		
40		EDG*		15		14.8995		13.8924		1		0		1		0		


41		A*		59893		17.7279		17.7287		1		0		1		0		
41		Dijkstra		69580		17.7279		17.7287		1		0		1		0		
41		JPS		8195		17.7279		17.7287		1		0		1		0		
41		EDG*		16		17.7279		16.6433		1		0		1		0		


42		A*		60040		17.8995		17.9001		1		0		1		0		
42		Dijkstra		69468		17.8995		17.9001		1		0		1		0		
42		JPS		4376		17.8995		17.9001		1		0		1		0		
42		EDG*		17		17.8995		16.5529		1		0		1		0		


43		A*		59850		19.5563		19.5573		1		0		1		0		
43		Dijkstra		71421		19.5563		19.5573		1		0		1		0		
43		JPS		3437		19.5563		19.5573		1		0		1		0		
43		EDG*		17		19.5563		18.6011		1		0		1		0		


44		A*		60359		18.3137		18.3144		1		0		1		0		
44		Dijkstra		67680		18.3137		18.3144		1		0		1		0		
44		JPS		3874		18.3137		18.3144		1		0		1		0		
44		EDG*		17		18.3137		17		1		0		1		0		


45		A*		60084		18.8284		18.8286		1		0		1		0		
45		Dijkstra		70184		18.8284		18.8286		1		0		1		0		
45		JPS		4602		18.8284		18.8286		1		0		1		0		
45		EDG*		18		18.8284		18.1108		1		0		1		0		


46		A*		59832		18.4853		18.4858		1		0		1		0		
46		Dijkstra		71433		18.4853		18.4858		1		0		1		0		
46		JPS		1772		18.4853		18.4858		1		0		1		0		
46		EDG*		17		18.4853		17.088		1		0		1		0		


47		A*		60655		19.2426		19.2429		1		0		1		0		
47		Dijkstra		71475		19.2426		19.2429		1		0		1		0		
47		JPS		4177		19.2426		19.2429		1		0		1		0		
47		EDG*		17		19.2426		18.2483		1		0		1		0		


48		A*		59906		19.2426		19.2429		1		0		1		0		
48		Dijkstra		70370		19.2426		19.2429		1		0		1		0		
48		JPS		1064		19.2426		19.2429		1		0		1		0		
48		EDG*		17		19.2426		18.2483		1		0		1		0		


49		A*		60657		17.9706		17.9716		1		0		1		0		
49		Dijkstra		70547		17.9706		17.9716		1		0		1		0		
49		JPS		4048		17.9706		17.9716		1		0		1		0		
49		EDG*		15		17.9706		17.6918		1		0		1		0		


50		A*		59932		18.9706		18.9716		1		0		1		0		
50		Dijkstra		70681		18.9706		18.9716		1		0		1		0		
50		JPS		6575		18.9706		18.9716		1		0		1		0		
50		EDG*		16		18.9706		18.4391		1		0		1		0		


51		A*		61169		21.5563		21.5573		1		0		1		0		
51		Dijkstra		74156		21.5563		21.5573		1		0		1		0		
51		JPS		4798		21.5563		21.5573		1		0		1		0		
51		EDG*		17		21.5563		20.2485		1		0		1		0		


52		A*		60507		20.7279		20.7287		1		0		1		0		
52		Dijkstra		72913		20.7279		20.7287		1		0		1		0		
52		JPS		6214		20.7279		20.7287		1		0		1		0		
52		EDG*		17		20.7279		19.2354		1		0		1		0		


53		A*		60023		20.799		20.8002		1		0		1		0		
53		Dijkstra		73909		20.799		20.8002		1		0		1		0		
53		JPS		3207		20.799		20.8002		1		0		1		0		
53		EDG*		17		20.799		20.5183		1		0		1		0		


54		A*		59335		23.2426		23.2429		1		0		1		0		
54		Dijkstra		75846		23.2426		23.2429		1		0		1		0		
54		JPS		7106		23.2426		23.2429		1		0		1		0		
54		EDG*		18		23.2426		22.2036		1		0		1		0		


55		A*		59880		20.4853		20.4858		1		0		1		0		
55		Dijkstra		72695		20.4853		20.4858		1		0		1		0		
55		JPS		1413		20.4853		20.4858		1		0		1		0		
55		EDG*		17		20.4853		18.9737		1		0		1		0		


56		A*		60309		20.4142		20.4143		1		0		1		0		
56		Dijkstra		72577		20.4142		20.4143		1		0		1		0		
56		JPS		4427		20.4142		20.4143		1		0		1		0		
56		EDG*		19		20.4142		20.025		1		0		1		0		


57		A*		61875		22.0711		22.0715		1		0		1		0		
57		Dijkstra		75972		22.0711		22.0715		1		0		1		0		
